m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,12,0
1.022,80,33,0
1.022,90,35,0
1.022,100,23,0
1.022,110,31,0
1.022,120,31,0
1.022,130,33,0
1.022,140,24,0
1.022,150,31,0
1.022,160,38,0
1.022,170,14,0
1.022,180,38,0
1.022,190,35,0
1.022,200,25,0
1.022,210,26,0
1.022,220,39,0
1.022,230,35,0
1.022,240,28,0
1.022,250,40,0
1.022,260,34,0
1.022,270,33,0
1.022,280,33,1
1.022,290,47,3
1.022,300,28,2
1.022,310,33,2
1.022,320,26,2
1.022,330,49,4
1.022,340,30,0
1.022,350,32,6
1.022,360,49,3
1.022,370,37,3
1.022,380,37,1
1.022,390,34,3
1.022,400,57,5
1.022,410,22,2
1.022,420,29,3
1.022,430,28,2
1.022,440,41,1
1.022,450,27,8
1.022,460,22,5
1.022,470,28,7
1.022,480,13,0
1.022,490,33,3
1.022,500,37,3
1.022,510,40,6
1.022,520,27,7
1.022,530,36,9
1.022,540,24,1
1.022,550,22,3
1.022,560,49,3
1.022,570,42,3
1.022,580,30,4
1.022,590,22,2
1.022,600,36,6
1.022,610,36,8
1.022,620,40,7
1.022,630,20,1
1.022,640,35,4
1.022,650,23,4
1.022,660,17,3
1.022,670,21,6
1.022,680,21,3
1.022,690,14,8
1.022,700,18,5
1.022,710,22,1
1.022,720,21,5
1.022,730,16,5
1.022,740,16,4
1.022,750,22,4
1.022,760,14,6
1.022,770,21,3
1.022,780,12,6
1.022,790,8,5
1.022,800,20,4
1.022,810,14,7
1.022,820,7,14
1.022,830,12,5
1.022,840,7,9
1.022,850,8,23
1.022,860,3,6
1.022,870,5,2
1.022,880,6,9
1.022,890,3,2
1.022,900,4,4
1.022,910,6,5
1.022,920,5,8
1.022,930,6,3
1.022,940,8,3
1.022,950,4,10
1.022,960,8,9
1.022,970,9,8
1.022,980,10,4
1.022,990,1,0
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,35,0
1.08898,80,45,0
1.08898,90,40,0
1.08898,100,24,0
1.08898,110,19,0
1.08898,120,42,0
1.08898,130,29,0
