m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,14,0
1.022,80,39,0
1.022,90,32,0
1.022,100,30,0
1.022,110,23,0
1.022,120,31,0
1.022,130,17,0
1.022,140,53,0
1.022,150,22,0
1.022,160,45,0
1.022,170,47,0
1.022,180,40,0
1.022,190,23,0
1.022,200,29,0
1.022,210,39,0
1.022,220,37,0
1.022,230,37,0
1.022,240,31,0
1.022,250,26,0
1.022,260,44,0
1.022,270,39,0
1.022,280,25,1
1.022,290,29,0
1.022,300,43,1
1.022,310,41,1
1.022,320,45,1
1.022,330,36,2
1.022,340,31,3
1.022,350,33,6
1.022,360,26,5
1.022,370,35,6
1.022,380,47,2
1.022,390,43,0
1.022,400,34,4
1.022,410,33,3
1.022,420,21,5
1.022,430,14,0
1.022,440,23,8
1.022,450,28,1
1.022,460,25,6
1.022,470,21,3
1.022,480,26,0
1.022,490,38,0
1.022,500,26,1
1.022,510,46,1
1.022,520,13,5
1.022,530,21,8
1.022,540,16,5
1.022,550,21,9
1.022,560,21,6
1.022,570,20,6
1.022,580,22,5
1.022,590,21,6
1.022,600,27,7
1.022,610,24,11
1.022,620,23,4
1.022,630,21,8
1.022,640,10,8
1.022,650,17,4
1.022,660,18,5
1.022,670,20,3
1.022,680,18,2
1.022,690,16,2
1.022,700,17,10
1.022,710,21,9
1.022,720,8,5
1.022,730,7,3
1.022,740,7,2
1.022,750,20,8
1.022,760,19,10
1.022,770,18,11
1.022,780,15,7
1.022,790,12,4
1.022,800,10,2
1.022,810,18,6
1.022,820,10,6
1.022,830,10,5
1.022,840,16,4
1.022,850,9,3
1.022,860,11,7
1.022,870,15,10
1.022,880,11,5
1.022,890,16,10
1.022,900,14,8
1.022,910,10,4
1.022,920,9,4
1.022,930,10,1
1.022,940,5,8
1.022,950,9,11
1.022,960,4,8
1.022,970,2,15
1.022,980,8,12
1.022,990,14,10
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,26,0
1.08898,80,25,0
1.08898,90,36,0
1.08898,100,37,0
1.08898,110,33,0
1.08898,120,30,0
1.08898,130,20,0
