m_B,deltaE,nFlux
1.022,0,0
1.022,10,0
1.022,20,0
1.022,30,0
1.022,40,0
1.022,50,0
1.022,60,0
1.022,70,61
1.022,80,60
1.022,90,76
1.022,100,58
1.022,110,60
1.022,120,66
1.022,130,52
1.022,140,54
1.022,150,72
1.022,160,59
1.022,170,68
1.022,180,77
1.022,190,58
1.022,200,55
1.022,210,74
1.022,220,84
1.022,230,62
1.022,240,49
1.022,250,64
1.022,260,59
1.022,270,65
1.022,280,74
1.022,290,54
1.022,300,82
1.022,310,82
1.022,320,80
1.022,330,85
1.022,340,61
1.022,350,83
1.022,360,65
1.022,370,85
1.022,380,71
1.022,390,68
1.022,400,65
1.022,410,59
1.022,420,58
1.022,430,40
1.022,440,55
1.022,450,67
1.022,460,65
1.022,470,74
1.022,480,57
1.022,490,49
1.022,500,52
1.022,510,60
1.022,520,46
1.022,530,36
1.022,540,67
1.022,550,49
1.022,560,60
1.022,570,63
1.022,580,49
1.022,590,55
1.022,600,60
1.022,610,39
1.022,620,29
1.022,630,42
1.022,640,53
1.022,650,49
1.022,660,38
1.022,670,36
1.022,680,35
1.022,690,32
1.022,700,42
1.022,710,31
1.022,720,39
1.022,730,34
1.022,740,14
1.022,750,34
1.022,760,26
1.022,770,20
1.022,780,15
1.022,790,28
1.022,800,23
1.022,810,19
1.022,820,24
1.022,830,18
1.022,840,18
1.022,850,20
1.022,860,24
1.022,870,14
1.022,880,14
1.022,890,13
1.022,900,15
1.022,910,10
1.022,920,20
1.022,930,20
1.022,940,15
1.022,950,10
1.022,960,18
1.022,970,14
1.022,980,15
1.022,990,20
1.70978,0,0
1.70978,10,0
1.70978,20,0
1.70978,30,0
1.70978,40,1
1.70978,50,0
1.70978,60,0
1.70978,70,70
1.70978,80,70
1.70978,90,63
1.70978,100,50
1.70978,110,49
1.70978,120,65
1.70978,130,60
1.70978,140,41
1.70978,150,48
1.70978,160,63
1.70978,170,73
1.70978,180,84
1.70978,190,68
1.70978,200,56
1.70978,210,61
1.70978,220,81
1.70978,230,42
1.70978,240,59
1.70978,250,91
1.70978,260,68
1.70978,270,83
1.70978,280,91
1.70978,290,61
1.70978,300,112
1.70978,310,66
1.70978,320,86
1.70978,330,59
1.70978,340,63
1.70978,350,75
1.70978,360,71
1.70978,370,75
1.70978,380,92
1.70978,390,73
1.70978,400,72
1.70978,410,58
1.70978,420,52
1.70978,430,57
1.70978,440,64
1.70978,450,67
1.70978,460,54
1.70978,470,67
1.70978,480,55
1.70978,490,57
1.70978,500,61
1.70978,510,49
1.70978,520,43
1.70978,530,35
1.70978,540,62
1.70978,550,64
1.70978,560,57
1.70978,570,45
1.70978,580,53
1.70978,590,41
1.70978,600,43
1.70978,610,40
1.70978,620,23
1.70978,630,42
1.70978,640,43
1.70978,650,41
1.70978,660,40
1.70978,670,25
1.70978,680,37
1.70978,690,38
1.70978,700,29
1.70978,710,27
1.70978,720,30
1.70978,730,15
1.70978,740,21
1.70978,750,35
1.70978,760,21
1.70978,770,26
1.70978,780,13
1.70978,790,22
1.70978,800,16
1.70978,810,13
1.70978,820,15
1.70978,830,10
1.70978,840,20
1.70978,850,14
1.70978,860,21
1.70978,870,20
1.70978,880,16
1.70978,890,15
1.70978,900,16
1.70978,910,14
1.70978,920,10
1.70978,930,12
1.70978,940,8
1.70978,950,16
1.70978,960,13
1.70978,970,12
1.70978,980,15
1.70978,990,16
2.39756,0,0
2.39756,10,0
2.39756,20,0
2.39756,30,0
2.39756,40,0
2.39756,50,0
2.39756,60,0
2.39756,70,86
2.39756,80,74
2.39756,90,77
2.39756,100,41
2.39756,110,58
2.39756,120,78
2.39756,130,61
2.39756,140,56
2.39756,150,70
2.39756,160,68
2.39756,170,78
2.39756,180,79
2.39756,190,61
2.39756,200,59
2.39756,210,88
2.39756,220,91
2.39756,230,54
2.39756,240,87
2.39756,250,74
2.39756,260,72
2.39756,270,79
2.39756,280,64
2.39756,290,52
2.39756,300,94
2.39756,310,60
2.39756,320,60
2.39756,330,76
2.39756,340,59
2.39756,350,94
2.39756,360,84
2.39756,370,88
2.39756,380,70
2.39756,390,74
2.39756,400,59
2.39756,410,59
2.39756,420,62
2.39756,430,47
2.39756,440,67
2.39756,450,61
2.39756,460,47
2.39756,470,76
2.39756,480,62
2.39756,490,43
2.39756,500,54
2.39756,510,49
2.39756,520,34
2.39756,530,44
2.39756,540,59
2.39756,550,48
2.39756,560,58
2.39756,570,59
2.39756,580,46
2.39756,590,43
2.39756,600,50
2.39756,610,44
2.39756,620,44
2.39756,630,49
2.39756,640,57
2.39756,650,46
2.39756,660,50
2.39756,670,31
2.39756,680,33
2.39756,690,35
2.39756,700,42
2.39756,710,22
2.39756,720,54
2.39756,730,13
2.39756,740,19
2.39756,750,22
2.39756,760,24
2.39756,770,25
2.39756,780,27
2.39756,790,19
2.39756,800,10
2.39756,810,26
2.39756,820,20
2.39756,830,21
2.39756,840,18
2.39756,850,20
2.39756,860,18
2.39756,870,17
2.39756,880,14
2.39756,890,19
2.39756,900,15
2.39756,910,9
2.39756,920,13
2.39756,930,15
2.39756,940,20
2.39756,950,14
2.39756,960,15
2.39756,970,15
2.39756,980,17
2.39756,990,31
3.08534,0,0
3.08534,10,0
3.08534,20,0
3.08534,30,0
3.08534,40,0
3.08534,50,0
3.08534,60,0
3.08534,70,113
3.08534,80,81
3.08534,90,72
3.08534,100,50
3.08534,110,67
3.08534,120,70
3.08534,130,56
3.08534,140,48
3.08534,150,64
3.08534,160,79
3.08534,170,87
3.08534,180,51
3.08534,190,75
3.08534,200,72
3.08534,210,65
3.08534,220,90
3.08534,230,70
3.08534,240,61
3.08534,250,65
3.08534,260,67
3.08534,270,59
3.08534,280,86
3.08534,290,60
3.08534,300,107
3.08534,310,78
3.08534,320,65
3.08534,330,70
3.08534,340,46
3.08534,350,99
3.08534,360,73
3.08534,370,70
3.08534,380,81
3.08534,390,57
3.08534,400,51
3.08534,410,50
3.08534,420,55
3.08534,430,51
3.08534,440,72
3.08534,450,61
3.08534,460,62
3.08534,470,59
