m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,1000000000
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,29,0
1.022,80,39,0
1.022,90,32,0
1.022,100,38,0
1.022,110,29,0
1.022,120,23,0
1.022,130,26,0
1.022,140,26,0
1.022,150,37,0
1.022,160,36,0
1.022,170,34,0
1.022,180,38,0
1.022,190,31,0
1.022,200,37,0
1.022,210,28,0
1.022,220,54,0
1.022,230,39,0
1.022,240,29,0
1.022,250,33,0
1.022,260,33,0
1.022,270,25,0
1.022,280,28,2
1.022,290,35,0
1.022,300,39,1
1.022,310,60,3
1.022,320,34,1
1.022,330,31,1
1.022,340,46,2
1.022,350,25,2
1.022,360,39,3
1.022,370,37,2
1.022,380,55,5
1.022,390,34,5
1.022,400,29,1
1.022,410,41,1
1.022,420,33,3
1.022,430,22,4
1.022,440,27,9
1.022,450,23,1
1.022,460,35,3
1.022,470,28,7
1.022,480,32,5
1.022,490,28,1
1.022,500,18,6
1.022,510,11,6
1.022,520,20,5
1.022,530,17,1
1.022,540,16,6
1.022,550,16,8
1.022,560,31,4
1.022,570,28,3
1.022,580,27,9
1.022,590,22,3
1.022,600,15,1
1.022,610,22,4
1.022,620,13,7
1.022,630,17,6
1.022,640,17,7
1.022,650,15,11
1.022,660,26,3
1.022,670,18,13
1.022,680,17,8
1.022,690,13,7
1.022,700,8,13
1.022,710,8,8
1.022,720,9,4
1.022,730,19,4
1.022,740,8,6
1.022,750,29,6
1.022,760,10,9
1.022,770,20,9
1.022,780,13,5
1.022,790,12,2
1.022,800,16,6
1.022,810,8,2
1.022,820,8,16
1.022,830,12,7
1.022,840,13,5
1.022,850,13,0
1.022,860,10,2
1.022,870,10,4
1.022,880,17,5
1.022,890,19,3
1.022,900,10,1
1.022,910,8,10
1.022,920,8,7
1.022,930,7,6
1.022,940,3,12
1.022,950,5,6
1.022,960,6,4
1.022,970,4,1
1.022,980,8,4
1.022,990,2,2
4.91763,0,0,0
4.91763,10,0,0
4.91763,20,0,0
4.91763,30,0,0
4.91763,40,0,0
4.91763,50,0,0
4.91763,60,0,0
4.91763,70,39,0
4.91763,80,35,0
4.91763,90,39,0
4.91763,100,28,0
4.91763,110,19,0
4.91763,120,29,0
4.91763,130,31,0
4.91763,140,28,0
4.91763,150,42,0
4.91763,160,40,0
4.91763,170,28,0
4.91763,180,52,0
4.91763,190,23,0
4.91763,200,25,0
4.91763,210,39,0
4.91763,220,40,0
4.91763,230,38,0
4.91763,240,21,0
4.91763,250,18,0
4.91763,260,26,0
4.91763,270,31,0
4.91763,280,40,0
4.91763,290,28,2
4.91763,300,44,1
4.91763,310,55,2
4.91763,320,20,2
