m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,14,0
1.022,80,57,0
1.022,90,38,0
1.022,100,19,0
1.022,110,33,0
1.022,120,17,0
1.022,130,33,0
1.022,140,26,0
1.022,150,40,0
1.022,160,40,0
1.022,170,35,0
1.022,180,45,0
1.022,190,64,0
1.022,200,17,0
1.022,210,15,0
1.022,220,37,0
1.022,230,33,0
1.022,240,34,0
1.022,250,23,0
1.022,260,46,0
1.022,270,36,0
1.022,280,43,2
1.022,290,39,1
1.022,300,52,2
1.022,310,37,3
1.022,320,42,7
1.022,330,41,0
1.022,340,68,6
1.022,350,32,3
1.022,360,51,3
1.022,370,21,4
1.022,380,39,6
1.022,390,27,4
1.022,400,20,4
1.022,410,29,2
1.022,420,27,2
1.022,430,21,5
1.022,440,30,3
1.022,450,34,4
1.022,460,21,6
1.022,470,37,5
1.022,480,35,4
1.022,490,15,5
1.022,500,25,1
1.022,510,25,6
1.022,520,25,7
1.022,530,39,7
1.022,540,32,8
1.022,550,35,9
1.022,560,29,6
1.022,570,15,8
1.022,580,26,0
1.022,590,19,3
1.022,600,20,3
1.022,610,17,0
1.022,620,14,0
1.022,630,18,3
1.022,640,35,3
1.022,650,18,5
1.022,660,24,3
1.022,670,21,8
1.022,680,29,5
1.022,690,21,0
1.022,700,15,9
1.022,710,19,7
1.022,720,23,2
1.022,730,18,9
1.022,740,23,2
1.022,750,20,5
1.022,760,26,10
1.022,770,25,3
1.022,780,22,1
1.022,790,22,4
1.022,800,11,3
1.022,810,19,3
1.022,820,19,12
1.022,830,17,8
1.022,840,31,4
1.022,850,13,4
1.022,860,2,8
1.022,870,11,9
1.022,880,4,8
1.022,890,5,8
1.022,900,11,9
1.022,910,13,5
1.022,920,16,2
1.022,930,16,8
1.022,940,9,8
1.022,950,10,6
1.022,960,6,6
1.022,970,10,7
1.022,980,11,14
1.022,990,10,5
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,27,0
1.08898,80,48,0
1.08898,90,42,0
1.08898,100,28,0
1.08898,110,36,0
1.08898,120,14,0
1.08898,130,20,0
