m_B,deltaE,nFlux
1.022,0,0
1.022,100,2504
1.022,200,5805
1.022,300,6277
1.022,400,5929
1.022,500,5671
1.022,600,4377
1.022,700,3236
1.022,800,2597
1.022,900,2095
1.07368,0,0
1.07368,100,1497
1.07368,200,3327
1.07368,300,3685
1.07368,400,3591
1.07368,500,3252
1.07368,600,2703
1.07368,700,1915
1.07368,800,1466
1.07368,900,1179
1.12797,0,0
1.12797,100,903
1.12797,200,2035
1.12797,300,2247
1.12797,400,2154
1.12797,500,1979
1.12797,600,1590
1.12797,700,1155
1.12797,800,900
1.12797,900,732
1.185,0,0
1.185,100,771
1.185,200,1709
1.185,300,1892
1.185,400,1719
1.185,500,1641
1.185,600,1284
1.185,700,943
1.185,800,770
1.185,900,595
1.24492,0,0
1.24492,100,478
1.24492,200,1062
1.24492,300,1143
1.24492,400,1058
1.24492,500,942
1.24492,600,790
1.24492,700,572
1.24492,800,442
1.24492,900,339
1.30787,0,0
1.30787,100,713
1.30787,200,1360
1.30787,300,1495
1.30787,400,1497
1.30787,500,1303
1.30787,600,1006
1.30787,700,755
1.30787,800,615
1.30787,900,445
1.37401,0,0
1.37401,100,504
1.37401,200,974
1.37401,300,1116
1.37401,400,1071
1.37401,500,1005
1.37401,600,796
1.37401,700,549
1.37401,800,452
1.37401,900,337
1.44349,0,0
1.44349,100,381
1.44349,200,750
1.44349,300,733
1.44349,400,661
1.44349,500,674
1.44349,600,472
1.44349,700,359
1.44349,800,310
1.44349,900,185
1.51648,0,0
1.51648,100,357
1.51648,200,716
1.51648,300,732
1.51648,400,691
1.51648,500,610
1.51648,600,503
1.51648,700,346
1.51648,800,283
1.51648,900,218
1.59316,0,0
1.59316,100,345
1.59316,200,707
1.59316,300,779
1.59316,400,684
1.59316,500,620
1.59316,600,492
1.59316,700,382
1.59316,800,331
1.59316,900,239
1.67371,0,0
1.67371,100,365
1.67371,200,752
1.67371,300,783
1.67371,400,683
1.67371,500,650
1.67371,600,467
1.67371,700,369
1.67371,800,308
1.67371,900,197
1.75835,0,0
1.75835,100,352
1.75835,200,705
1.75835,300,796
1.75835,400,691
1.75835,500,648
1.75835,600,489
1.75835,700,351
1.75835,800,267
1.75835,900,214
1.84726,0,0
1.84726,100,200
1.84726,200,350
1.84726,300,397
1.84726,400,355
1.84726,500,297
1.84726,600,245
1.84726,700,189
1.84726,800,160
1.84726,900,84
1.94067,0,0
1.94067,100,393
1.94067,200,705
1.94067,300,782
1.94067,400,673
1.94067,500,641
1.94067,600,508
1.94067,700,347
1.94067,800,311
1.94067,900,229
2.0388,0,0
2.0388,100,201
2.0388,200,327
2.0388,300,362
2.0388,400,366
2.0388,500,307
2.0388,600,236
2.0388,700,175
2.0388,800,143
2.0388,900,95
2.14189,0,0
2.14189,100,224
2.14189,200,383
2.14189,300,394
2.14189,400,346
2.14189,500,309
2.14189,600,216
2.14189,700,164
2.14189,800,124
2.14189,900,93
2.25019,0,0
2.25019,100,238
2.25019,200,341
2.25019,300,369
2.25019,400,369
2.25019,500,304
2.25019,600,243
2.25019,700,179
2.25019,800,133
2.25019,900,92
