m_B,deltaE,nFlux_pi0,nFlux_eta
1.16034,610,15,8
1.16034,620,18,6
1.16034,630,20,5
1.16034,640,18,2
1.16034,650,17,3
1.16034,660,22,5
1.16034,670,21,4
1.16034,680,15,4
1.16034,690,20,4
1.16034,700,20,3
1.16034,710,19,8
1.16034,720,10,5
1.16034,730,12,5
1.16034,740,17,6
1.16034,750,17,4
1.16034,760,14,0
1.16034,770,15,3
1.16034,780,11,3
1.16034,790,16,4
1.16034,800,8,3
1.16034,810,10,16
1.16034,820,12,1
1.16034,830,13,5
1.16034,840,7,6
1.16034,850,13,11
1.16034,860,14,7
1.16034,870,16,4
1.16034,880,18,4
1.16034,890,45,8
1.16034,900,19,6
1.16034,910,8,11
1.16034,920,9,2
1.16034,930,11,4
1.16034,940,10,10
1.16034,950,4,7
1.16034,960,5,8
1.16034,970,5,9
1.16034,980,5,11
1.16034,990,6,10
1.23639,0,0,0
1.23639,10,0,0
1.23639,20,0,0
1.23639,30,0,0
1.23639,40,0,0
1.23639,50,0,0
1.23639,60,0,0
1.23639,70,19,0
1.23639,80,39,0
1.23639,90,30,0
1.23639,100,40,0
1.23639,110,22,0
1.23639,120,33,0
1.23639,130,37,0
1.23639,140,17,0
1.23639,150,40,0
1.23639,160,39,0
1.23639,170,28,0
1.23639,180,54,0
1.23639,190,46,0
1.23639,200,26,0
1.23639,210,36,0
1.23639,220,31,0
1.23639,230,29,0
1.23639,240,27,0
1.23639,250,45,0
1.23639,260,23,0
1.23639,270,32,0
1.23639,280,28,2
1.23639,290,49,3
1.23639,300,37,4
1.23639,310,24,3
1.23639,320,53,7
1.23639,330,42,8
1.23639,340,36,1
1.23639,350,31,0
1.23639,360,27,2
1.23639,370,24,5
1.23639,380,27,5
1.23639,390,36,2
1.23639,400,37,2
1.23639,410,17,1
1.23639,420,27,0
1.23639,430,21,3
1.23639,440,30,8
1.23639,450,37,2
1.23639,460,34,2
1.23639,470,40,1
1.23639,480,43,2
1.23639,490,39,4
1.23639,500,16,2
1.23639,510,24,5
1.23639,520,23,5
1.23639,530,27,12
1.23639,540,33,1
1.23639,550,25,3
1.23639,560,33,2
1.23639,570,46,6
1.23639,580,39,9
1.23639,590,37,7
1.23639,600,26,0
1.23639,610,22,5
1.23639,620,19,7
1.23639,630,16,4
1.23639,640,18,2
1.23639,650,17,2
1.23639,660,19,1
1.23639,670,20,3
1.23639,680,14,3
1.23639,690,23,10
1.23639,700,13,7
1.23639,710,19,8
1.23639,720,22,6
1.23639,730,15,5
1.23639,740,11,8
1.23639,750,16,5
1.23639,760,25,4
1.23639,770,13,10
1.23639,780,15,1
1.23639,790,10,3
1.23639,800,10,2
1.23639,810,10,11
1.23639,820,9,5
1.23639,830,7,6
1.23639,840,9,1
1.23639,850,15,5
1.23639,860,10,5
1.23639,870,18,4
1.23639,880,19,6
1.23639,890,43,6
1.23639,900,19,16
1.23639,910,9,11
1.23639,920,4,2
1.23639,930,6,5
1.23639,940,9,11
1.23639,950,5,7
1.23639,960,5,5
1.23639,970,5,5
1.23639,980,4,9
1.23639,990,9,7
1.31741,0,0,0
1.31741,10,0,0
1.31741,20,0,0
1.31741,30,0,0
1.31741,40,0,0
1.31741,50,1,0
1.31741,60,0,0
1.31741,70,16,0
1.31741,80,37,0
1.31741,90,46,0
1.31741,100,35,0
1.31741,110,28,0
1.31741,120,24,0
1.31741,130,29,0
1.31741,140,26,0
1.31741,150,49,0
1.31741,160,42,0
1.31741,170,26,0
1.31741,180,41,0
1.31741,190,53,0
1.31741,200,27,0
1.31741,210,43,0
1.31741,220,46,0
1.31741,230,25,0
1.31741,240,17,0
1.31741,250,45,0
1.31741,260,44,0
1.31741,270,43,0
1.31741,280,32,1
1.31741,290,44,1
1.31741,300,36,6
1.31741,310,24,1
1.31741,320,55,3
1.31741,330,30,5
1.31741,340,40,0
1.31741,350,49,0
1.31741,360,25,2
1.31741,370,23,6
1.31741,380,25,0
1.31741,390,38,3
1.31741,400,41,2
1.31741,410,23,2
1.31741,420,24,0
1.31741,430,23,6
1.31741,440,36,9
1.31741,450,42,1
1.31741,460,38,6
1.31741,470,30,3
1.31741,480,35,1
1.31741,490,36,4
1.31741,500,18,2
1.31741,510,24,11
1.31741,520,25,10
1.31741,530,29,6
1.31741,540,28,5
1.31741,550,23,1
1.31741,560,28,2
1.31741,570,35,6
1.31741,580,41,15
1.31741,590,29,4
1.31741,600,23,2
1.31741,610,19,6
1.31741,620,17,8
1.31741,630,17,4
1.31741,640,12,9
1.31741,650,14,3
1.31741,660,23,3
1.31741,670,14,5
1.31741,680,11,1
1.31741,690,26,2
1.31741,700,14,12
1.31741,710,23,7
1.31741,720,13,5
1.31741,730,12,7
1.31741,740,13,1
1.31741,750,22,3
1.31741,760,19,2
1.31741,770,12,8
1.31741,780,11,4
1.31741,790,18,3
1.31741,800,5,4
1.31741,810,8,10
1.31741,820,20,1
1.31741,830,7,2
1.31741,840,8,7
1.31741,850,12,17
1.31741,860,8,7
1.31741,870,21,5
1.31741,880,27,4
1.31741,890,40,11
1.31741,900,25,10
1.31741,910,9,8
1.31741,920,7,7
1.31741,930,9,2
1.31741,940,9,5
1.31741,950,5,6
1.31741,960,7,8
1.31741,970,6,8
1.31741,980,4,9
1.31741,990,4,12
1.40375,0,0,0
1.40375,10,0,0
1.40375,20,0,0
1.40375,30,0,0
1.40375,40,0,0
1.40375,50,0,0
1.40375,60,0,0
1.40375,70,21,0
1.40375,80,50,0
1.40375,90,52,0
1.40375,100,36,0
1.40375,110,34,0
1.40375,120,29,0
1.40375,130,43,0
1.40375,140,28,0
1.40375,150,44,0
1.40375,160,36,0
1.40375,170,26,0
1.40375,180,41,0
1.40375,190,47,0
1.40375,200,26,0
1.40375,210,45,0
1.40375,220,44,0
1.40375,230,29,0
1.40375,240,31,0
1.40375,250,44,0
1.40375,260,30,0
1.40375,270,41,0
1.40375,280,27,2
1.40375,290,48,4
1.40375,300,44,7
1.40375,310,18,0
1.40375,320,48,2
1.40375,330,43,2
1.40375,340,39,1
1.40375,350,35,0
1.40375,360,27,2
1.40375,370,19,4
1.40375,380,30,4
1.40375,390,42,2
1.40375,400,45,3
1.40375,410,18,5
