m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,29,0
1.022,80,33,0
1.022,90,32,0
1.022,100,35,0
1.022,110,23,0
1.022,120,37,0
1.022,130,32,0
1.022,140,32,0
1.022,150,33,0
1.022,160,32,0
1.022,170,15,0
1.022,180,51,0
1.022,190,38,0
1.022,200,32,0
1.022,210,17,0
1.022,220,29,0
1.022,230,37,0
1.022,240,28,0
1.022,250,43,0
1.022,260,39,0
1.022,270,34,0
1.022,280,42,2
1.022,290,41,5
1.022,300,30,2
1.022,310,47,4
1.022,320,37,2
1.022,330,38,2
1.022,340,38,0
1.022,350,26,2
1.022,360,32,3
1.022,370,36,2
1.022,380,40,1
1.022,390,25,3
1.022,400,37,4
1.022,410,29,3
1.022,420,28,7
1.022,430,23,8
1.022,440,30,2
1.022,450,30,2
1.022,460,20,2
1.022,470,21,8
1.022,480,31,0
1.022,490,27,0
1.022,500,35,4
1.022,510,25,2
1.022,520,37,4
1.022,530,45,6
1.022,540,16,5
1.022,550,20,8
1.022,560,24,5
1.022,570,34,2
1.022,580,37,3
1.022,590,29,9
1.022,600,41,6
1.022,610,29,4
1.022,620,32,1
1.022,630,16,2
1.022,640,16,5
1.022,650,19,1
1.022,660,19,2
1.022,670,21,3
1.022,680,28,1
1.022,690,16,5
1.022,700,13,4
1.022,710,12,3
1.022,720,29,2
1.022,730,16,4
1.022,740,21,9
1.022,750,14,7
1.022,760,13,11
1.022,770,12,2
1.022,780,10,7
1.022,790,12,9
1.022,800,19,5
1.022,810,20,1
1.022,820,13,11
1.022,830,6,5
1.022,840,7,13
1.022,850,7,11
1.022,860,9,6
1.022,870,9,7
1.022,880,8,5
1.022,890,6,14
1.022,900,5,1
1.022,910,1,8
1.022,920,5,9
1.022,930,6,4
1.022,940,2,8
1.022,950,5,10
1.022,960,4,12
1.022,970,10,11
1.022,980,9,3
1.022,990,6,1
4.91763,0,0,0
4.91763,10,0,0
4.91763,20,0,0
4.91763,30,0,0
4.91763,40,0,0
4.91763,50,0,0
4.91763,60,0,0
4.91763,70,52,0
4.91763,80,35,0
4.91763,90,35,0
4.91763,100,25,0
4.91763,110,24,0
4.91763,120,48,0
4.91763,130,34,0
