m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,24,0
1.022,80,55,0
1.022,90,41,0
1.022,100,29,0
1.022,110,52,0
1.022,120,24,0
1.022,130,31,0
1.022,140,42,0
1.022,150,62,0
1.022,160,43,0
1.022,170,37,0
1.022,180,48,0
1.022,190,41,0
1.022,200,31,0
1.022,210,38,0
1.022,220,38,0
1.022,230,28,0
1.022,240,43,0
1.022,250,45,0
1.022,260,33,0
1.022,270,41,0
1.022,280,48,1
1.022,290,49,1
1.022,300,39,4
1.022,310,24,0
1.022,320,28,5
1.022,330,34,2
1.022,340,53,10
1.022,350,31,0
1.022,360,51,8
1.022,370,35,2
1.022,380,38,3
1.022,390,38,5
1.022,400,31,5
1.022,410,21,3
1.022,420,25,6
1.022,430,28,5
1.022,440,37,4
1.022,450,27,4
1.022,460,32,5
1.022,470,27,4
1.022,480,31,1
1.022,490,39,2
1.022,500,38,2
1.022,510,25,11
1.022,520,24,6
1.022,530,22,1
1.022,540,23,3
1.022,550,33,4
1.022,560,28,10
1.022,570,32,5
1.022,580,31,2
1.022,590,20,4
1.022,600,24,7
1.022,610,22,3
1.022,620,19,10
1.022,630,20,10
1.022,640,29,6
1.022,650,17,9
1.022,660,10,4
1.022,670,24,10
1.022,680,24,7
1.022,690,26,3
1.022,700,15,2
1.022,710,5,3
1.022,720,4,8
1.022,730,11,1
1.022,740,14,3
1.022,750,24,2
1.022,760,16,4
1.022,770,18,5
1.022,780,13,7
1.022,790,10,5
1.022,800,13,7
1.022,810,14,4
1.022,820,8,9
1.022,830,9,7
1.022,840,10,8
1.022,850,6,13
1.022,860,11,3
1.022,870,7,6
1.022,880,10,17
1.022,890,6,10
1.022,900,5,11
1.022,910,3,3
1.022,920,2,8
1.022,930,9,13
1.022,940,7,7
1.022,950,10,4
1.022,960,10,7
1.022,970,7,15
1.022,980,9,10
1.022,990,6,7
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,11,0
1.08898,80,44,0
1.08898,90,44,0
1.08898,100,17,0
1.08898,110,40,0
1.08898,120,30,0
1.08898,130,28,0
