m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,30,0
1.022,80,44,0
1.022,90,46,0
1.022,100,43,0
1.022,110,27,0
1.022,120,29,0
1.022,130,21,0
1.022,140,33,0
1.022,150,46,0
1.022,160,36,0
1.022,170,24,0
1.022,180,22,0
1.022,190,29,0
1.022,200,29,0
1.022,210,17,0
1.022,220,39,0
1.022,230,32,0
1.022,240,51,0
1.022,250,23,0
1.022,260,22,0
1.022,270,28,0
1.022,280,47,5
1.022,290,29,0
1.022,300,22,3
1.022,310,54,2
1.022,320,36,1
1.022,330,45,3
1.022,340,22,1
1.022,350,37,3
1.022,360,53,1
1.022,370,35,4
1.022,380,29,5
1.022,390,32,1
1.022,400,30,1
1.022,410,52,4
1.022,420,28,4
1.022,430,47,4
1.022,440,49,2
1.022,450,42,8
1.022,460,18,3
1.022,470,34,6
1.022,480,55,7
1.022,490,43,8
1.022,500,24,3
1.022,510,30,2
1.022,520,17,4
1.022,530,23,4
1.022,540,27,11
1.022,550,31,7
1.022,560,21,2
1.022,570,26,4
1.022,580,39,5
1.022,590,70,15
1.022,600,34,5
1.022,610,18,1
1.022,620,10,2
1.022,630,14,0
1.022,640,22,9
1.022,650,24,3
1.022,660,22,3
1.022,670,13,5
1.022,680,18,2
1.022,690,22,4
1.022,700,19,5
1.022,710,27,5
1.022,720,13,4
1.022,730,19,5
1.022,740,20,8
1.022,750,8,3
1.022,760,16,3
1.022,770,13,2
1.022,780,16,3
1.022,790,8,3
1.022,800,8,0
1.022,810,17,4
1.022,820,44,3
1.022,830,9,3
1.022,840,8,3
1.022,850,9,6
1.022,860,16,6
1.022,870,8,6
1.022,880,5,6
1.022,890,13,7
1.022,900,16,7
1.022,910,16,7
1.022,920,13,6
1.022,930,10,5
1.022,940,4,2
1.022,950,7,3
1.022,960,5,4
1.022,970,4,3
1.022,980,7,7
1.022,990,6,4
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,15,0
1.08898,80,55,0
1.08898,90,47,0
1.08898,100,27,0
1.08898,110,23,0
1.08898,120,23,0
1.08898,130,24,0
