m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,1,0
1.022,60,0,0
1.022,70,29,0
1.022,80,40,0
1.022,90,37,0
1.022,100,44,0
1.022,110,34,0
1.022,120,25,0
1.022,130,20,0
1.022,140,23,0
1.022,150,32,0
1.022,160,49,0
1.022,170,27,0
1.022,180,32,0
1.022,190,17,0
1.022,200,33,0
1.022,210,37,0
1.022,220,46,0
1.022,230,33,0
1.022,240,26,0
1.022,250,41,0
1.022,260,37,0
1.022,270,30,0
1.022,280,20,1
1.022,290,35,3
1.022,300,55,3
1.022,310,35,3
1.022,320,47,3
1.022,330,36,2
1.022,340,34,0
1.022,350,35,2
1.022,360,34,4
1.022,370,35,7
1.022,380,46,2
1.022,390,26,1
1.022,400,43,1
1.022,410,34,7
1.022,420,41,6
1.022,430,23,7
1.022,440,63,3
1.022,450,52,3
1.022,460,34,3
1.022,470,24,5
1.022,480,27,3
1.022,490,22,0
1.022,500,12,7
1.022,510,21,3
1.022,520,23,6
1.022,530,27,2
1.022,540,39,1
1.022,550,34,11
1.022,560,35,8
1.022,570,36,3
1.022,580,38,0
1.022,590,30,12
1.022,600,19,5
1.022,610,20,1
1.022,620,20,9
1.022,630,15,7
1.022,640,25,7
1.022,650,25,4
1.022,660,22,5
1.022,670,20,2
1.022,680,6,2
1.022,690,28,9
1.022,700,20,22
1.022,710,22,6
1.022,720,21,6
1.022,730,12,6
1.022,740,10,4
1.022,750,19,5
1.022,760,20,2
1.022,770,19,2
1.022,780,19,2
1.022,790,12,6
1.022,800,6,1
1.022,810,15,15
1.022,820,15,6
1.022,830,18,6
1.022,840,17,0
1.022,850,11,17
1.022,860,14,11
1.022,870,11,10
1.022,880,14,7
1.022,890,18,6
1.022,900,18,5
1.022,910,10,4
1.022,920,4,5
1.022,930,7,11
1.022,940,3,9
1.022,950,7,4
1.022,960,9,9
1.022,970,7,4
1.022,980,7,6
1.022,990,6,8
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,30,0
1.08898,80,30,0
1.08898,90,45,0
1.08898,100,38,0
1.08898,110,43,0
1.08898,120,20,0
1.08898,130,11,0
