m_B,deltaE,nFlux
3.08534,330,26203
3.08534,340,29038
3.08534,350,35749
3.08534,360,29472
3.08534,370,37479
3.08534,380,31511
3.08534,390,41168
3.08534,400,42182
3.08534,410,52722
3.08534,420,63126
3.08534,430,59074
3.08534,440,53269
3.08534,450,64331
3.08534,460,88141
3.08534,470,68765
3.08534,480,29869
3.08534,490,12914
3.08534,500,25434
3.08534,510,48502
3.08534,520,31644
3.08534,530,23047
3.08534,540,21510
3.08534,550,38930
3.08534,560,97402
3.08534,570,63308
3.08534,580,51975
3.08534,590,50322
3.08534,600,59711
3.08534,610,42047
3.08534,620,58379
3.08534,630,65959
3.08534,640,47608
3.08534,650,54898
3.08534,660,30642
3.08534,670,45055
3.08534,680,59543
3.08534,690,44374
3.08534,700,35251
3.08534,710,66667
3.08534,720,55104
3.08534,730,48255
3.08534,740,17265
3.08534,750,84428
3.08534,760,196923
3.08534,770,75541
3.08534,780,83923
3.08534,790,49069
3.08534,800,49754
3.08534,810,56680
3.08534,820,61840
3.08534,830,42425
3.08534,840,50575
3.08534,850,14659
3.08534,860,29891
3.08534,870,57667
3.08534,880,37315
3.08534,890,40795
3.08534,900,28149
3.08534,910,38001
3.08534,920,20295
3.08534,930,60236
3.08534,940,42992
3.08534,950,29827
3.08534,960,24816
3.08534,970,25765
3.08534,980,35531
3.08534,990,64354
3.77312,0,0
3.77312,10,1
3.77312,20,10
3.77312,30,27
3.77312,40,39
3.77312,50,61
3.77312,60,130
3.77312,70,117
3.77312,80,219
3.77312,90,328
3.77312,100,456
3.77312,110,738
3.77312,120,1361
3.77312,130,1152
3.77312,140,1161
3.77312,150,1641
3.77312,160,1546
3.77312,170,2501
3.77312,180,2327
3.77312,190,2572
3.77312,200,3270
3.77312,210,4508
3.77312,220,7334
3.77312,230,5515
3.77312,240,4584
3.77312,250,10465
3.77312,260,9506
3.77312,270,8600
3.77312,280,17674
3.77312,290,19355
3.77312,300,25174
3.77312,310,23531
3.77312,320,24381
3.77312,330,26977
3.77312,340,30809
3.77312,350,35680
3.77312,360,30927
3.77312,370,37279
3.77312,380,32360
3.77312,390,40299
3.77312,400,44681
3.77312,410,55068
3.77312,420,65221
3.77312,430,58537
3.77312,440,52565
3.77312,450,69821
3.77312,460,88841
3.77312,470,65428
3.77312,480,28654
3.77312,490,13198
3.77312,500,27320
3.77312,510,49091
3.77312,520,29881
3.77312,530,23141
3.77312,540,22125
3.77312,550,41995
3.77312,560,98656
3.77312,570,61007
3.77312,580,50755
3.77312,590,51798
3.77312,600,60982
3.77312,610,40239
3.77312,620,60130
3.77312,630,65493
3.77312,640,49311
3.77312,650,54216
3.77312,660,29564
3.77312,670,45905
3.77312,680,61659
3.77312,690,43006
3.77312,700,33501
3.77312,710,73541
3.77312,720,51698
3.77312,730,47788
3.77312,740,16251
3.77312,750,94399
3.77312,760,203973
3.77312,770,69747
3.77312,780,80781
3.77312,790,49173
3.77312,800,49404
3.77312,810,57336
3.77312,820,60788
3.77312,830,43143
3.77312,840,50985
3.77312,850,11481
3.77312,860,34627
3.77312,870,55193
3.77312,880,37275
3.77312,890,40458
3.77312,900,28304
3.77312,910,38258
3.77312,920,20863
3.77312,930,58269
3.77312,940,46423
3.77312,950,25642
3.77312,960,24276
3.77312,970,27264
3.77312,980,36543
3.77312,990,63985
4.4609,0,0
4.4609,10,0
4.4609,20,13
4.4609,30,29
4.4609,40,58
4.4609,50,70
4.4609,60,124
4.4609,70,136
4.4609,80,227
4.4609,90,365
4.4609,100,534
4.4609,110,785
4.4609,120,1383
4.4609,130,1156
4.4609,140,1158
4.4609,150,1639
4.4609,160,1502
4.4609,170,2558
4.4609,180,2262
4.4609,190,2700
4.4609,200,3552
4.4609,210,4758
4.4609,220,7613
4.4609,230,5123
4.4609,240,4645
4.4609,250,10704
4.4609,260,9675
4.4609,270,9657
4.4609,280,18121
4.4609,290,20196
4.4609,300,26224
4.4609,310,24136
4.4609,320,25095
4.4609,330,28039
4.4609,340,31722
4.4609,350,35617
4.4609,360,32980
4.4609,370,37928
4.4609,380,33790
4.4609,390,39521
4.4609,400,47385
4.4609,410,58074
4.4609,420,66843
4.4609,430,58793
4.4609,440,52135
4.4609,450,76970
4.4609,460,90066
4.4609,470,62241
4.4609,480,27719
4.4609,490,12847
4.4609,500,29448
4.4609,510,50126
4.4609,520,28019
4.4609,530,23418
4.4609,540,22324
4.4609,550,44977
4.4609,560,98618
4.4609,570,58536
4.4609,580,50171
4.4609,590,54360
