m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,22,0
1.022,80,55,0
1.022,90,49,0
1.022,100,32,0
1.022,110,16,0
1.022,120,26,0
1.022,130,30,0
1.022,140,37,0
1.022,150,26,0
1.022,160,30,0
1.022,170,19,0
1.022,180,21,0
1.022,190,43,0
1.022,200,35,0
1.022,210,46,0
1.022,220,38,0
1.022,230,50,0
1.022,240,25,0
1.022,250,20,0
1.022,260,30,0
1.022,270,35,0
1.022,280,59,3
1.022,290,64,1
1.022,300,31,4
1.022,310,25,3
1.022,320,36,1
1.022,330,30,4
1.022,340,37,2
1.022,350,26,4
1.022,360,39,5
1.022,370,25,2
1.022,380,36,5
1.022,390,39,6
1.022,400,35,1
1.022,410,34,1
1.022,420,49,3
1.022,430,51,1
1.022,440,35,3
1.022,450,28,3
1.022,460,34,6
1.022,470,36,3
1.022,480,29,11
1.022,490,27,7
1.022,500,55,5
1.022,510,43,9
1.022,520,25,6
1.022,530,31,3
1.022,540,36,7
1.022,550,19,6
1.022,560,15,6
1.022,570,37,11
1.022,580,17,15
1.022,590,18,8
1.022,600,12,1
1.022,610,8,2
1.022,620,21,5
1.022,630,13,4
1.022,640,24,8
1.022,650,22,1
1.022,660,15,7
1.022,670,21,10
1.022,680,19,8
1.022,690,21,2
1.022,700,11,6
1.022,710,17,4
1.022,720,24,6
1.022,730,14,9
1.022,740,17,12
1.022,750,16,10
1.022,760,27,15
1.022,770,20,16
1.022,780,12,3
1.022,790,12,12
1.022,800,13,6
1.022,810,9,8
1.022,820,14,8
1.022,830,16,7
1.022,840,11,4
1.022,850,11,6
1.022,860,7,6
1.022,870,15,5
1.022,880,13,9
1.022,890,9,6
1.022,900,6,3
1.022,910,10,7
1.022,920,11,2
1.022,930,8,3
1.022,940,9,15
1.022,950,16,8
1.022,960,9,8
1.022,970,3,8
1.022,980,0,2
1.022,990,4,6
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,25,0
1.08898,80,49,0
1.08898,90,41,0
1.08898,100,24,0
1.08898,110,26,0
1.08898,120,20,0
1.08898,130,34,0
