m_B,deltaE,nFlux_pi0,nFlux_eta
1.08898,140,34,0
1.08898,150,41,0
1.08898,160,37,0
1.08898,170,15,0
1.08898,180,27,0
1.08898,190,34,0
1.08898,200,25,0
1.08898,210,56,0
1.08898,220,35,0
1.08898,230,57,0
1.08898,240,25,0
1.08898,250,22,0
1.08898,260,28,0
1.08898,270,31,0
1.08898,280,60,2
1.08898,290,47,1
1.08898,300,42,3
1.08898,310,31,6
1.08898,320,29,0
1.08898,330,45,3
1.08898,340,27,1
1.08898,350,26,0
1.08898,360,54,3
1.08898,370,30,1
1.08898,380,30,4
1.08898,390,24,1
1.08898,400,37,3
1.08898,410,35,1
1.08898,420,46,2
1.08898,430,29,2
1.08898,440,29,0
1.08898,450,32,5
1.08898,460,26,7
1.08898,470,19,4
1.08898,480,28,7
1.08898,490,51,5
1.08898,500,52,3
1.08898,510,39,5
1.08898,520,34,3
1.08898,530,20,2
1.08898,540,23,5
1.08898,550,25,3
1.08898,560,20,7
1.08898,570,18,9
1.08898,580,20,16
1.08898,590,30,5
1.08898,600,9,4
1.08898,610,19,4
1.08898,620,20,4
1.08898,630,16,1
1.08898,640,30,8
1.08898,650,16,3
1.08898,660,23,5
1.08898,670,22,4
1.08898,680,23,7
1.08898,690,17,6
1.08898,700,15,4
1.08898,710,14,5
1.08898,720,25,15
1.08898,730,13,11
1.08898,740,15,13
1.08898,750,15,13
1.08898,760,29,14
1.08898,770,20,14
1.08898,780,8,3
1.08898,790,9,2
1.08898,800,13,9
1.08898,810,8,2
1.08898,820,14,3
1.08898,830,14,4
1.08898,840,10,5
1.08898,850,12,7
1.08898,860,7,7
1.08898,870,10,5
1.08898,880,10,5
1.08898,890,13,7
1.08898,900,5,5
1.08898,910,8,6
1.08898,920,6,5
1.08898,930,13,1
1.08898,940,7,5
1.08898,950,14,5
1.08898,960,6,8
1.08898,970,6,16
1.08898,980,6,9
1.08898,990,5,10
1.16034,0,0,0
1.16034,10,0,0
1.16034,20,0,0
1.16034,30,0,0
1.16034,40,0,0
1.16034,50,0,0
1.16034,60,0,0
1.16034,70,17,0
1.16034,80,50,0
1.16034,90,34,0
1.16034,100,21,0
1.16034,110,21,0
1.16034,120,21,0
1.16034,130,17,0
1.16034,140,24,0
1.16034,150,29,0
1.16034,160,49,0
1.16034,170,13,0
1.16034,180,18,0
1.16034,190,45,0
1.16034,200,34,0
1.16034,210,45,0
1.16034,220,47,0
1.16034,230,59,0
1.16034,240,28,0
1.16034,250,21,0
1.16034,260,38,0
1.16034,270,39,0
1.16034,280,49,0
1.16034,290,57,0
1.16034,300,46,4
1.16034,310,31,2
1.16034,320,20,1
1.16034,330,34,2
1.16034,340,26,3
1.16034,350,27,1
1.16034,360,49,7
1.16034,370,33,0
1.16034,380,25,7
1.16034,390,31,3
1.16034,400,32,4
1.16034,410,21,0
1.16034,420,51,1
1.16034,430,36,1
1.16034,440,37,4
1.16034,450,33,2
1.16034,460,28,9
1.16034,470,18,1
1.16034,480,33,8
1.16034,490,38,3
1.16034,500,32,6
1.16034,510,38,6
1.16034,520,30,4
1.16034,530,19,2
1.16034,540,17,2
1.16034,550,16,2
1.16034,560,19,5
1.16034,570,21,8
1.16034,580,16,15
1.16034,590,25,5
1.16034,600,12,0
1.16034,610,13,4
1.16034,620,9,5
1.16034,630,16,1
1.16034,640,23,9
1.16034,650,17,7
1.16034,660,11,7
1.16034,670,24,9
1.16034,680,26,4
1.16034,690,18,4
1.16034,700,24,6
1.16034,710,18,3
1.16034,720,17,10
1.16034,730,11,2
1.16034,740,11,11
1.16034,750,16,15
1.16034,760,23,8
1.16034,770,29,10
1.16034,780,12,1
1.16034,790,17,6
1.16034,800,18,6
1.16034,810,4,6
1.16034,820,9,7
1.16034,830,14,3
1.16034,840,7,3
1.16034,850,20,7
1.16034,860,8,9
1.16034,870,12,3
1.16034,880,11,3
1.16034,890,9,6
1.16034,900,8,3
1.16034,910,9,11
1.16034,920,13,5
1.16034,930,8,4
1.16034,940,10,10
1.16034,950,10,7
1.16034,960,9,17
1.16034,970,8,9
1.16034,980,5,6
1.16034,990,1,9
1.23639,0,0,0
1.23639,10,0,0
1.23639,20,0,0
1.23639,30,0,0
1.23639,40,0,0
1.23639,50,0,0
1.23639,60,0,0
1.23639,70,24,0
1.23639,80,49,0
1.23639,90,34,0
1.23639,100,26,0
1.23639,110,29,0
1.23639,120,30,0
1.23639,130,32,0
1.23639,140,26,0
1.23639,150,28,0
1.23639,160,45,0
1.23639,170,15,0
1.23639,180,23,0
1.23639,190,47,0
1.23639,200,34,0
1.23639,210,46,0
1.23639,220,34,0
1.23639,230,50,0
1.23639,240,33,0
1.23639,250,22,0
1.23639,260,29,0
1.23639,270,27,0
1.23639,280,64,1
1.23639,290,51,1
1.23639,300,40,4
1.23639,310,36,5
1.23639,320,22,2
1.23639,330,50,1
1.23639,340,24,1
1.23639,350,14,1
1.23639,360,40,7
1.23639,370,22,2
1.23639,380,30,7
1.23639,390,28,2
1.23639,400,49,2
1.23639,410,40,3
1.23639,420,38,7
1.23639,430,36,2
1.23639,440,36,2
1.23639,450,25,6
1.23639,460,24,11
1.23639,470,29,4
1.23639,480,33,7
1.23639,490,33,5
1.23639,500,42,4
1.23639,510,42,5
1.23639,520,29,7
1.23639,530,31,2
1.23639,540,27,3
1.23639,550,20,5
1.23639,560,16,6
1.23639,570,22,10
1.23639,580,21,13
1.23639,590,14,0
1.23639,600,14,5
1.23639,610,14,3
1.23639,620,13,2
1.23639,630,18,1
1.23639,640,29,4
1.23639,650,22,5
1.23639,660,20,9
1.23639,670,21,11
1.23639,680,10,3
1.23639,690,18,1
1.23639,700,12,5
1.23639,710,18,7
1.23639,720,18,4
1.23639,730,13,13
1.23639,740,14,10
1.23639,750,25,6
1.23639,760,29,9
1.23639,770,28,15
1.23639,780,15,4
1.23639,790,8,4
1.23639,800,18,8
1.23639,810,6,2
1.23639,820,8,9
1.23639,830,13,6
1.23639,840,10,2
1.23639,850,10,5
1.23639,860,8,6
1.23639,870,10,6
1.23639,880,12,11
1.23639,890,7,12
1.23639,900,10,9
1.23639,910,7,6
1.23639,920,15,3
1.23639,930,5,2
1.23639,940,14,8
1.23639,950,14,5
1.23639,960,5,15
1.23639,970,2,7
1.23639,980,5,2
1.23639,990,4,8
1.31741,0,0,0
1.31741,10,0,0
1.31741,20,0,0
1.31741,30,0,0
1.31741,40,0,0
1.31741,50,0,0
1.31741,60,0,0
1.31741,70,19,0
1.31741,80,36,0
1.31741,90,35,0
1.31741,100,31,0
1.31741,110,31,0
1.31741,120,19,0
1.31741,130,34,0
1.31741,140,24,0
1.31741,150,29,0
1.31741,160,34,0
1.31741,170,17,0
1.31741,180,26,0
1.31741,190,52,0
1.31741,200,45,0
1.31741,210,44,0
1.31741,220,31,0
1.31741,230,40,0
1.31741,240,27,0
1.31741,250,20,0
1.31741,260,35,0
1.31741,270,34,0
1.31741,280,57,1
1.31741,290,61,0
1.31741,300,53,2
1.31741,310,28,1
1.31741,320,26,2
1.31741,330,56,1
1.31741,340,22,3
1.31741,350,20,0
1.31741,360,46,4
1.31741,370,27,0
1.31741,380,33,5
1.31741,390,30,1
1.31741,400,27,1
1.31741,410,29,3
1.31741,420,31,0
1.31741,430,40,3
1.31741,440,34,3
1.31741,450,29,1
1.31741,460,25,6
1.31741,470,29,2
1.31741,480,44,7
1.31741,490,38,5
1.31741,500,44,5
1.31741,510,32,7
1.31741,520,33,9
1.31741,530,23,5
1.31741,540,28,9
1.31741,550,27,4
1.31741,560,15,6
1.31741,570,25,11
1.31741,580,17,19
1.31741,590,20,10
1.31741,600,14,2
1.31741,610,10,2
1.31741,620,17,4
1.31741,630,13,2
1.31741,640,22,4
1.31741,650,16,5
1.31741,660,28,10
1.31741,670,19,8
1.31741,680,19,7
1.31741,690,22,7
1.31741,700,18,7
1.31741,710,22,7
1.31741,720,16,9
1.31741,730,11,9
1.31741,740,13,11
1.31741,750,24,13
1.31741,760,33,10
1.31741,770,16,9
1.31741,780,9,1
1.31741,790,11,4
1.31741,800,19,4
1.31741,810,5,3
1.31741,820,13,7
1.31741,830,13,4
1.31741,840,7,4
1.31741,850,13,5
1.31741,860,9,11
1.31741,870,9,5
1.31741,880,8,8
1.31741,890,14,8
1.31741,900,9,8
1.31741,910,6,9
1.31741,920,11,2
1.31741,930,10,8
1.31741,940,8,6
1.31741,950,10,8
1.31741,960,5,4
1.31741,970,3,10
1.31741,980,2,1
1.31741,990,6,10
1.40375,0,0,0
1.40375,10,0,0
1.40375,20,0,0
1.40375,30,0,0
1.40375,40,0,0
1.40375,50,0,0
1.40375,60,0,0
1.40375,70,20,0
1.40375,80,49,0
1.40375,90,41,0
1.40375,100,28,0
1.40375,110,44,0
1.40375,120,23,0
1.40375,130,23,0
1.40375,140,29,0
1.40375,150,34,0
1.40375,160,39,0
1.40375,170,16,0
1.40375,180,18,0
1.40375,190,46,0
1.40375,200,32,0
1.40375,210,37,0
1.40375,220,39,0
1.40375,230,60,0
1.40375,240,25,0
1.40375,250,23,0
1.40375,260,40,0
1.40375,270,34,0
1.40375,280,52,1
1.40375,290,39,0
1.40375,300,33,3
1.40375,310,33,2
1.40375,320,30,3
1.40375,330,30,1
1.40375,340,24,2
1.40375,350,24,3
1.40375,360,53,4
1.40375,370,37,6
1.40375,380,45,4
1.40375,390,42,1
1.40375,400,36,1
1.40375,410,24,4
1.40375,420,44,1
1.40375,430,26,4
1.40375,440,38,5
1.40375,450,32,4
1.40375,460,34,5
1.40375,470,24,3
1.40375,480,36,1
1.40375,490,42,5
1.40375,500,38,6
1.40375,510,48,7
1.40375,520,21,4
1.40375,530,28,3
1.40375,540,21,8
1.40375,550,23,5
1.40375,560,19,1
1.40375,570,15,12
1.40375,580,23,14
1.40375,590,30,3
1.40375,600,17,4
1.40375,610,12,0
1.40375,620,23,1
1.40375,630,13,5
1.40375,640,20,5
1.40375,650,25,9
1.40375,660,16,9
1.40375,670,24,4
1.40375,680,17,3
1.40375,690,24,1
1.40375,700,20,5
1.40375,710,19,6
1.40375,720,11,6
1.40375,730,25,6
1.40375,740,14,6
1.40375,750,21,7
1.40375,760,24,9
1.40375,770,20,16
1.40375,780,12,4
1.40375,790,14,8
1.40375,800,15,8
1.40375,810,11,4
1.40375,820,14,5
1.40375,830,24,4
1.40375,840,8,2
1.40375,850,14,6
1.40375,860,6,6
1.40375,870,12,7
1.40375,880,10,13
1.40375,890,12,8
1.40375,900,9,8
1.40375,910,12,9
1.40375,920,9,5
1.40375,930,5,8
1.40375,940,12,9
1.40375,950,12,10
1.40375,960,6,4
1.40375,970,9,10
1.40375,980,3,7
1.40375,990,5,9
1.49575,0,0,0
1.49575,10,0,0
1.49575,20,0,0
1.49575,30,0,0
1.49575,40,0,0
1.49575,50,0,0
1.49575,60,0,0
1.49575,70,25,0
1.49575,80,58,0
1.49575,90,42,0
1.49575,100,26,0
1.49575,110,28,0
1.49575,120,24,0
1.49575,130,34,0
1.49575,140,37,0
1.49575,150,22,0
1.49575,160,45,0
1.49575,170,24,0
1.49575,180,23,0
1.49575,190,37,0
1.49575,200,27,0
1.49575,210,46,0
1.49575,220,44,0
1.49575,230,54,0
1.49575,240,22,0
1.49575,250,19,0
1.49575,260,30,0
1.49575,270,41,0
1.49575,280,49,1
1.49575,290,51,0
1.49575,300,40,1
1.49575,310,33,3
1.49575,320,29,3
1.49575,330,33,3
1.49575,340,22,2
1.49575,350,34,2
1.49575,360,42,1
1.49575,370,32,4
1.49575,380,27,3
1.49575,390,29,1
1.49575,400,40,0
1.49575,410,35,0
1.49575,420,33,6
1.49575,430,37,1
1.49575,440,33,1
1.49575,450,34,2
1.49575,460,27,6
1.49575,470,30,2
1.49575,480,25,6
1.49575,490,37,6
1.49575,500,40,6
1.49575,510,50,3
1.49575,520,28,8
1.49575,530,30,3
1.49575,540,24,7
1.49575,550,18,5
1.49575,560,13,6
1.49575,570,25,9
1.49575,580,22,11
1.49575,590,18,3
1.49575,600,14,0
1.49575,610,10,3
1.49575,620,18,2
1.49575,630,11,7
1.49575,640,30,7
1.49575,650,22,5
1.49575,660,18,8
1.49575,670,21,1
1.49575,680,24,2
1.49575,690,20,5
1.49575,700,19,0
1.49575,710,29,4
1.49575,720,28,5
1.49575,730,15,5
1.49575,740,16,13
1.49575,750,12,8
1.49575,760,28,16
1.49575,770,24,11
1.49575,780,10,1
1.49575,790,10,5
1.49575,800,15,6
1.49575,810,5,6
1.49575,820,17,9
1.49575,830,20,5
1.49575,840,15,4
1.49575,850,15,6
1.49575,860,8,8
1.49575,870,13,8
1.49575,880,7,10
1.49575,890,14,9
1.49575,900,6,5
1.49575,910,8,3
1.49575,920,14,4
1.49575,930,8,3
1.49575,940,6,7
1.49575,950,9,4
1.49575,960,11,13
1.49575,970,4,7
1.49575,980,7,4
1.49575,990,5,7
1.59377,0,0,0
1.59377,10,0,0
1.59377,20,0,0
1.59377,30,0,0
1.59377,40,0,0
1.59377,50,0,0
1.59377,60,0,0
1.59377,70,18,0
1.59377,80,63,0
1.59377,90,35,0
1.59377,100,21,0
1.59377,110,25,0
1.59377,120,28,0
1.59377,130,37,0
1.59377,140,27,0
1.59377,150,36,0
1.59377,160,49,0
1.59377,170,17,0
1.59377,180,30,0
1.59377,190,38,0
1.59377,200,37,0
1.59377,210,48,0
1.59377,220,50,0
1.59377,230,63,0
1.59377,240,33,0
1.59377,250,25,0
1.59377,260,45,0
1.59377,270,42,0
1.59377,280,44,0
1.59377,290,54,0
1.59377,300,45,1
1.59377,310,38,6
1.59377,320,31,1
1.59377,330,44,0
1.59377,340,19,4
1.59377,350,27,3
1.59377,360,44,6
1.59377,370,38,0
1.59377,380,31,1
1.59377,390,29,4
1.59377,400,37,2
1.59377,410,32,3
1.59377,420,49,6
1.59377,430,41,4
1.59377,440,32,1
1.59377,450,37,4
1.59377,460,30,6
1.59377,470,30,0
1.59377,480,33,3
1.59377,490,37,1
1.59377,500,46,4
1.59377,510,52,2
1.59377,520,33,0
1.59377,530,21,3
1.59377,540,21,8
1.59377,550,22,3
1.59377,560,11,6
1.59377,570,23,14
1.59377,580,19,16
1.59377,590,32,2
1.59377,600,14,2
1.59377,610,11,2
1.59377,620,15,2
1.59377,630,16,3
1.59377,640,19,8
1.59377,650,27,3
1.59377,660,18,3
1.59377,670,18,6
1.59377,680,24,7
1.59377,690,17,2
1.59377,700,21,5
1.59377,710,27,6
1.59377,720,23,10
1.59377,730,12,12
1.59377,740,13,11
1.59377,750,16,10
1.59377,760,23,10
1.59377,770,22,6
1.59377,780,9,3
1.59377,790,10,9
1.59377,800,6,6
1.59377,810,5,5
1.59377,820,13,11
1.59377,830,16,6
1.59377,840,10,0
1.59377,850,13,5
1.59377,860,16,7
1.59377,870,10,3
1.59377,880,7,6
1.59377,890,8,9
1.59377,900,11,8
1.59377,910,10,10
1.59377,920,11,3
1.59377,930,12,7
1.59377,940,6,14
1.59377,950,4,6
1.59377,960,8,9
1.59377,970,4,7
1.59377,980,5,6
1.59377,990,2,8
1.69822,0,0,0
1.69822,10,0,0
1.69822,20,0,0
1.69822,30,0,0
1.69822,40,0,0
1.69822,50,0,0
1.69822,60,0,0
1.69822,70,21,0
1.69822,80,49,0
1.69822,90,30,0
1.69822,100,36,0
1.69822,110,21,0
1.69822,120,22,0
1.69822,130,31,0
1.69822,140,30,0
1.69822,150,21,0
1.69822,160,41,0
1.69822,170,14,0
1.69822,180,24,0
1.69822,190,38,0
1.69822,200,43,0
1.69822,210,38,0
1.69822,220,37,0
1.69822,230,56,0
1.69822,240,35,0
1.69822,250,21,0
1.69822,260,39,0
1.69822,270,40,0
1.69822,280,56,3
1.69822,290,44,2
1.69822,300,56,0
1.69822,310,27,2
1.69822,320,34,0
1.69822,330,32,2
1.69822,340,21,0
1.69822,350,31,0
1.69822,360,55,4
1.69822,370,40,2
1.69822,380,30,5
1.69822,390,36,1
1.69822,400,34,3
1.69822,410,36,1
1.69822,420,48,5
1.69822,430,35,1
1.69822,440,35,5
1.69822,450,40,2
1.69822,460,20,8
1.69822,470,29,3
1.69822,480,40,4
1.69822,490,36,5
1.69822,500,40,7
1.69822,510,44,8
1.69822,520,22,7
1.69822,530,15,3
1.69822,540,19,11
1.69822,550,21,8
1.69822,560,12,7
1.69822,570,24,15
1.69822,580,19,23
1.69822,590,32,2
1.69822,600,15,4
1.69822,610,12,3
1.69822,620,13,4
1.69822,630,14,5
1.69822,640,28,5
1.69822,650,34,3
1.69822,660,21,7
1.69822,670,22,1
1.69822,680,18,6
1.69822,690,17,2
1.69822,700,19,4
1.69822,710,21,5
1.69822,720,12,5
1.69822,730,13,10
1.69822,740,15,12
1.69822,750,17,11
1.69822,760,25,12
1.69822,770,25,20
1.69822,780,13,5
1.69822,790,5,9
1.69822,800,12,5
1.69822,810,12,5
1.69822,820,13,7
1.69822,830,9,3
1.69822,840,9,0
1.69822,850,14,2
1.69822,860,7,4
1.69822,870,14,5
1.69822,880,14,9
1.69822,890,11,11
1.69822,900,10,5
1.69822,910,8,12
1.69822,920,12,7
1.69822,930,10,4
1.69822,940,10,13
1.69822,950,8,4
1.69822,960,8,10
1.69822,970,3,9
1.69822,980,8,6
1.69822,990,2,5
1.80951,0,0,0
1.80951,10,0,0
1.80951,20,0,0
1.80951,30,0,0
1.80951,40,0,0
1.80951,50,0,0
1.80951,60,0,0
1.80951,70,37,0
1.80951,80,54,0
1.80951,90,40,0
1.80951,100,30,0
1.80951,110,28,0
1.80951,120,26,0
1.80951,130,29,0
1.80951,140,31,0
1.80951,150,32,0
1.80951,160,40,0
1.80951,170,25,0
1.80951,180,25,0
1.80951,190,55,0
1.80951,200,35,0
1.80951,210,50,0
1.80951,220,37,0
1.80951,230,54,0
1.80951,240,31,0
1.80951,250,30,0
1.80951,260,29,0
1.80951,270,35,0
1.80951,280,72,3
1.80951,290,35,0
1.80951,300,43,1
1.80951,310,27,3
1.80951,320,28,2
1.80951,330,37,2
1.80951,340,24,1
1.80951,350,21,3
1.80951,360,59,3
1.80951,370,38,3
1.80951,380,28,5
1.80951,390,35,2
1.80951,400,26,4
1.80951,410,34,5
1.80951,420,45,0
1.80951,430,37,1
1.80951,440,35,1
1.80951,450,40,1
1.80951,460,30,7
1.80951,470,34,3
1.80951,480,36,5
1.80951,490,38,3
1.80951,500,44,4
1.80951,510,50,4
1.80951,520,36,3
1.80951,530,22,5
1.80951,540,23,4
1.80951,550,20,4
1.80951,560,12,6
1.80951,570,21,5
1.80951,580,17,20
1.80951,590,25,6
1.80951,600,18,3
1.80951,610,11,6
1.80951,620,12,4
1.80951,630,21,5
1.80951,640,21,6
1.80951,650,15,6
1.80951,660,22,9
1.80951,670,22,5
1.80951,680,27,4
1.80951,690,15,3
1.80951,700,18,6
1.80951,710,31,6
1.80951,720,19,7
1.80951,730,10,5
1.80951,740,11,10
1.80951,750,20,9
1.80951,760,28,15
1.80951,770,22,9
1.80951,780,7,4
1.80951,790,6,9
1.80951,800,19,4
1.80951,810,5,7
1.80951,820,10,9
1.80951,830,19,6
1.80951,840,8,1
1.80951,850,11,2
1.80951,860,8,3
1.80951,870,8,6
1.80951,880,17,6
1.80951,890,15,12
1.80951,900,14,10
1.80951,910,5,14
1.80951,920,10,3
1.80951,930,8,5
1.80951,940,3,5
1.80951,950,19,11
1.80951,960,4,14
1.80951,970,6,12
1.80951,980,4,7
1.80951,990,4,6
1.9281,0,0,0
1.9281,10,0,0
1.9281,20,0,0
1.9281,30,0,0
1.9281,40,0,0
1.9281,50,0,0
1.9281,60,0,0
1.9281,70,21,0
1.9281,80,53,0
1.9281,90,33,0
1.9281,100,27,0
1.9281,110,32,0
1.9281,120,24,0
1.9281,130,21,0
1.9281,140,44,0
1.9281,150,29,0
1.9281,160,46,0
1.9281,170,17,0
1.9281,180,33,0
1.9281,190,43,0
1.9281,200,40,0
1.9281,210,38,0
1.9281,220,47,0
1.9281,230,57,0
1.9281,240,24,0
1.9281,250,19,0
1.9281,260,38,0
1.9281,270,27,0
1.9281,280,59,1
1.9281,290,43,0
1.9281,300,36,5
1.9281,310,37,4
1.9281,320,28,3
1.9281,330,41,2
1.9281,340,24,0
1.9281,350,32,4
1.9281,360,46,7
1.9281,370,33,1
1.9281,380,36,2
1.9281,390,30,1
1.9281,400,26,4
1.9281,410,31,3
1.9281,420,35,5
1.9281,430,43,2
1.9281,440,25,2
1.9281,450,42,3
1.9281,460,25,4
1.9281,470,26,5
1.9281,480,31,8
1.9281,490,50,5
1.9281,500,43,3
1.9281,510,43,3
1.9281,520,27,3
1.9281,530,28,2
1.9281,540,30,5
1.9281,550,6,6
1.9281,560,16,7
1.9281,570,17,15
1.9281,580,11,15
1.9281,590,25,6
1.9281,600,17,2
1.9281,610,11,5
1.9281,620,15,6
1.9281,630,16,5
1.9281,640,27,8
1.9281,650,21,2
1.9281,660,12,6
1.9281,670,13,7
1.9281,680,25,7
1.9281,690,25,5
1.9281,700,21,3
1.9281,710,19,8
1.9281,720,22,10
1.9281,730,14,6
1.9281,740,14,17
1.9281,750,27,8
1.9281,760,21,11
1.9281,770,23,12
1.9281,780,11,0
1.9281,790,13,7
1.9281,800,8,8
1.9281,810,5,3
1.9281,820,10,12
1.9281,830,7,5
1.9281,840,7,3
1.9281,850,18,3
1.9281,860,8,8
1.9281,870,10,5
1.9281,880,8,9
1.9281,890,13,11
1.9281,900,12,7
1.9281,910,10,4
1.9281,920,9,4
1.9281,930,6,5
1.9281,940,10,5
1.9281,950,10,3
1.9281,960,7,8
1.9281,970,5,14
1.9281,980,6,3
1.9281,990,3,9
2.05446,0,0,0
2.05446,10,0,0
2.05446,20,0,0
2.05446,30,0,0
2.05446,40,0,0
2.05446,50,0,0
2.05446,60,0,0
2.05446,70,30,0
2.05446,80,56,0
2.05446,90,48,0
2.05446,100,26,0
2.05446,110,25,0
2.05446,120,26,0
2.05446,130,29,0
2.05446,140,36,0
2.05446,150,30,0
2.05446,160,33,0
2.05446,170,22,0
2.05446,180,28,0
2.05446,190,32,0
2.05446,200,30,0
2.05446,210,26,0
2.05446,220,46,0
2.05446,230,51,0
2.05446,240,37,0
2.05446,250,26,0
2.05446,260,37,0
2.05446,270,27,0
2.05446,280,60,1
2.05446,290,62,0
2.05446,300,25,2
2.05446,310,30,3
2.05446,320,39,2
2.05446,330,39,0
2.05446,340,20,4
2.05446,350,23,1
2.05446,360,47,8
2.05446,370,45,0
2.05446,380,27,2
2.05446,390,33,1
2.05446,400,23,4
2.05446,410,30,2
2.05446,420,41,1
2.05446,430,28,1
2.05446,440,32,0
2.05446,450,38,4
2.05446,460,34,7
2.05446,470,28,2
2.05446,480,30,4
2.05446,490,44,3
2.05446,500,44,4
2.05446,510,48,5
2.05446,520,27,2
2.05446,530,15,3
2.05446,540,23,13
2.05446,550,24,5
2.05446,560,14,4
2.05446,570,16,18
2.05446,580,18,10
2.05446,590,19,10
2.05446,600,10,5
2.05446,610,11,6
2.05446,620,20,8
2.05446,630,15,5
2.05446,640,23,7
2.05446,650,15,6
2.05446,660,18,8
2.05446,670,12,6
2.05446,680,21,6
2.05446,690,19,5
2.05446,700,16,3
2.05446,710,19,4
2.05446,720,19,7
2.05446,730,18,6
2.05446,740,19,11
2.05446,750,18,5
2.05446,760,27,4
2.05446,770,22,8
2.05446,780,7,5
2.05446,790,9,8
2.05446,800,9,4
2.05446,810,8,2
2.05446,820,12,6
2.05446,830,18,2
2.05446,840,11,3
2.05446,850,12,5
2.05446,860,7,6
2.05446,870,7,4
2.05446,880,9,7
2.05446,890,8,2
2.05446,900,10,5
2.05446,910,6,5
2.05446,920,9,4
2.05446,930,5,5
2.05446,940,11,8
2.05446,950,11,5
2.05446,960,7,8
2.05446,970,4,7
2.05446,980,3,6
2.05446,990,9,9
2.1891,0,0,0
2.1891,10,0,0
2.1891,20,0,0
2.1891,30,0,0
2.1891,40,0,0
2.1891,50,0,0
2.1891,60,0,0
2.1891,70,22,0
2.1891,80,46,0
2.1891,90,40,0
2.1891,100,26,0
2.1891,110,21,0
2.1891,120,25,0
2.1891,130,26,0
2.1891,140,28,0
2.1891,150,36,0
2.1891,160,41,0
2.1891,170,20,0
2.1891,180,31,0
2.1891,190,55,0
2.1891,200,48,0
2.1891,210,48,0
2.1891,220,33,0
2.1891,230,46,0
2.1891,240,26,0
2.1891,250,16,0
2.1891,260,42,0
2.1891,270,34,0
2.1891,280,54,1
2.1891,290,48,0
2.1891,300,35,3
2.1891,310,27,2
2.1891,320,32,2
2.1891,330,33,2
2.1891,340,21,5
2.1891,350,35,0
2.1891,360,42,5
2.1891,370,38,0
2.1891,380,41,5
2.1891,390,36,3
2.1891,400,35,5
2.1891,410,28,3
2.1891,420,36,6
2.1891,430,36,3
2.1891,440,42,1
2.1891,450,38,0
2.1891,460,28,5
2.1891,470,24,3
2.1891,480,36,6
2.1891,490,42,7
2.1891,500,40,4
2.1891,510,43,6
2.1891,520,22,2
2.1891,530,16,5
2.1891,540,24,4
2.1891,550,18,6
2.1891,560,10,3
2.1891,570,16,9
2.1891,580,18,17
2.1891,590,20,7
2.1891,600,14,3
2.1891,610,5,5
2.1891,620,19,1
2.1891,630,12,4
2.1891,640,18,7
2.1891,650,29,1
2.1891,660,23,8
2.1891,670,17,2
2.1891,680,14,6
2.1891,690,17,4
2.1891,700,11,5
2.1891,710,23,4
2.1891,720,27,6
2.1891,730,16,3
2.1891,740,11,8
2.1891,750,15,6
2.1891,760,36,19
