m_B,deltaE,nFlux_pi0,nFlux_eta
1.022,0,0,0
1.022,10,0,0
1.022,20,0,0
1.022,30,0,0
1.022,40,0,0
1.022,50,0,0
1.022,60,0,0
1.022,70,27,0
1.022,80,51,0
1.022,90,38,0
1.022,100,29,0
1.022,110,22,0
1.022,120,24,0
1.022,130,30,0
1.022,140,27,0
1.022,150,32,0
1.022,160,32,0
1.022,170,42,0
1.022,180,31,0
1.022,190,29,0
1.022,200,24,0
1.022,210,44,0
1.022,220,63,0
1.022,230,38,0
1.022,240,18,0
1.022,250,20,0
1.022,260,34,0
1.022,270,17,0
1.022,280,23,2
1.022,290,32,0
1.022,300,33,1
1.022,310,45,2
1.022,320,36,4
1.022,330,33,5
1.022,340,43,1
1.022,350,25,4
1.022,360,29,4
1.022,370,47,7
1.022,380,41,1
1.022,390,39,1
1.022,400,31,1
1.022,410,49,3
1.022,420,36,2
1.022,430,20,4
1.022,440,34,6
1.022,450,19,2
1.022,460,42,1
1.022,470,34,4
1.022,480,31,6
1.022,490,29,3
1.022,500,15,7
1.022,510,23,2
1.022,520,19,1
1.022,530,13,5
1.022,540,24,10
1.022,550,14,2
1.022,560,25,3
1.022,570,28,3
1.022,580,27,5
1.022,590,19,3
1.022,600,10,3
1.022,610,13,2
1.022,620,19,11
1.022,630,17,3
1.022,640,17,1
1.022,650,19,6
1.022,660,29,8
1.022,670,25,6
1.022,680,19,7
1.022,690,9,8
1.022,700,16,7
1.022,710,14,10
1.022,720,13,4
1.022,730,8,6
1.022,740,17,3
1.022,750,28,8
1.022,760,11,9
1.022,770,9,7
1.022,780,15,10
1.022,790,4,1
1.022,800,12,7
1.022,810,11,8
1.022,820,11,15
1.022,830,12,1
1.022,840,13,3
1.022,850,10,1
1.022,860,12,6
1.022,870,12,3
1.022,880,9,5
1.022,890,15,2
1.022,900,9,2
1.022,910,11,10
1.022,920,4,7
1.022,930,16,4
1.022,940,4,3
1.022,950,3,6
1.022,960,7,0
1.022,970,4,1
1.022,980,6,4
1.022,990,4,6
1.08898,0,0,0
1.08898,10,0,0
1.08898,20,0,0
1.08898,30,0,0
1.08898,40,0,0
1.08898,50,0,0
1.08898,60,0,0
1.08898,70,36,0
1.08898,80,34,0
1.08898,90,35,0
1.08898,100,35,0
1.08898,110,18,0
1.08898,120,32,0
1.08898,130,25,0
