m_B,deltaE,nFlux_pi0,nFlux_eta
1.08898,140,34,0
1.08898,150,25,0
1.08898,160,30,0
1.08898,170,28,0
1.08898,180,48,0
1.08898,190,27,0
1.08898,200,31,0
1.08898,210,40,0
1.08898,220,37,0
1.08898,230,66,0
1.08898,240,16,0
1.08898,250,18,0
1.08898,260,33,0
1.08898,270,21,0
1.08898,280,25,0
1.08898,290,34,0
1.08898,300,34,3
1.08898,310,35,0
1.08898,320,32,2
1.08898,330,21,0
1.08898,340,42,3
1.08898,350,24,3
1.08898,360,48,6
1.08898,370,45,7
1.08898,380,49,2
1.08898,390,36,3
1.08898,400,25,1
1.08898,410,40,0
1.08898,420,28,2
1.08898,430,36,6
1.08898,440,29,5
1.08898,450,24,1
1.08898,460,45,2
1.08898,470,39,5
1.08898,480,29,2
1.08898,490,31,1
1.08898,500,18,7
1.08898,510,29,5
1.08898,520,21,5
1.08898,530,13,3
1.08898,540,14,6
1.08898,550,26,6
1.08898,560,26,8
1.08898,570,35,3
1.08898,580,20,1
1.08898,590,24,3
1.08898,600,19,2
1.08898,610,16,5
1.08898,620,20,4
1.08898,630,25,2
1.08898,640,9,4
1.08898,650,15,2
1.08898,660,24,5
1.08898,670,27,8
1.08898,680,14,3
1.08898,690,15,7
1.08898,700,12,8
1.08898,710,25,12
1.08898,720,15,7
1.08898,730,13,5
1.08898,740,14,4
1.08898,750,22,9
1.08898,760,6,6
1.08898,770,16,13
1.08898,780,10,7
1.08898,790,14,4
1.08898,800,12,5
1.08898,810,9,3
1.08898,820,13,11
1.08898,830,12,5
1.08898,840,11,5
1.08898,850,9,3
1.08898,860,8,4
1.08898,870,10,4
1.08898,880,10,5
1.08898,890,15,4
1.08898,900,9,5
1.08898,910,16,10
1.08898,920,7,4
1.08898,930,7,3
1.08898,940,7,9
1.08898,950,4,7
1.08898,960,3,5
1.08898,970,8,0
1.08898,980,7,9
1.08898,990,2,5
1.16034,0,0,0
1.16034,10,0,0
1.16034,20,0,0
1.16034,30,0,0
1.16034,40,0,0
1.16034,50,0,0
1.16034,60,0,0
1.16034,70,21,0
1.16034,80,46,0
1.16034,90,38,0
1.16034,100,35,0
1.16034,110,25,0
1.16034,120,26,0
1.16034,130,28,0
1.16034,140,33,0
1.16034,150,24,0
1.16034,160,42,0
1.16034,170,44,0
1.16034,180,33,0
1.16034,190,32,0
1.16034,200,37,0
1.16034,210,34,0
1.16034,220,56,0
1.16034,230,49,0
1.16034,240,26,0
1.16034,250,25,1
1.16034,260,49,0
1.16034,270,19,0
1.16034,280,27,1
1.16034,290,39,0
1.16034,300,35,1
1.16034,310,50,5
1.16034,320,30,3
1.16034,330,23,2
1.16034,340,28,0
1.16034,350,29,5
1.16034,360,30,7
1.16034,370,38,5
1.16034,380,35,3
1.16034,390,47,1
1.16034,400,34,5
1.16034,410,37,0
1.16034,420,28,3
1.16034,430,24,8
1.16034,440,22,4
1.16034,450,19,2
1.16034,460,41,1
1.16034,470,33,3
1.16034,480,27,1
1.16034,490,27,0
1.16034,500,13,8
1.16034,510,20,5
1.16034,520,22,4
1.16034,530,11,3
1.16034,540,13,8
1.16034,550,16,7
1.16034,560,21,4
1.16034,570,23,2
1.16034,580,22,9
1.16034,590,18,2
1.16034,600,23,2
1.16034,610,22,0
1.16034,620,20,7
1.16034,630,17,5
1.16034,640,16,2
1.16034,650,19,5
1.16034,660,15,3
1.16034,670,20,9
1.16034,680,23,5
1.16034,690,22,3
1.16034,700,15,6
1.16034,710,16,9
1.16034,720,15,6
1.16034,730,10,5
1.16034,740,9,7
1.16034,750,34,7
1.16034,760,13,10
1.16034,770,15,10
1.16034,780,13,10
1.16034,790,8,5
1.16034,800,14,4
1.16034,810,6,5
1.16034,820,9,13
1.16034,830,7,3
1.16034,840,10,6
1.16034,850,10,0
1.16034,860,7,3
1.16034,870,9,6
1.16034,880,7,2
1.16034,890,14,1
1.16034,900,10,2
1.16034,910,5,5
1.16034,920,5,6
1.16034,930,9,4
1.16034,940,8,9
1.16034,950,5,4
1.16034,960,8,0
1.16034,970,4,3
1.16034,980,1,8
1.16034,990,6,4
1.23639,0,0,0
1.23639,10,0,0
1.23639,20,0,0
1.23639,30,0,0
1.23639,40,0,0
1.23639,50,0,0
1.23639,60,0,0
1.23639,70,22,0
1.23639,80,38,0
1.23639,90,35,0
1.23639,100,31,0
1.23639,110,26,0
1.23639,120,29,0
1.23639,130,29,0
1.23639,140,26,0
1.23639,150,41,0
1.23639,160,36,0
1.23639,170,48,0
1.23639,180,49,0
1.23639,190,21,0
1.23639,200,39,0
1.23639,210,44,0
1.23639,220,54,0
1.23639,230,42,0
1.23639,240,23,0
1.23639,250,36,0
1.23639,260,32,0
1.23639,270,31,0
1.23639,280,24,2
1.23639,290,40,3
1.23639,300,40,3
1.23639,310,46,0
1.23639,320,34,2
1.23639,330,17,3
1.23639,340,45,6
1.23639,350,19,1
1.23639,360,33,4
1.23639,370,32,9
1.23639,380,52,3
1.23639,390,48,3
1.23639,400,34,5
1.23639,410,35,1
1.23639,420,36,0
1.23639,430,34,2
1.23639,440,26,3
1.23639,450,20,0
1.23639,460,37,3
1.23639,470,33,0
1.23639,480,39,3
1.23639,490,28,2
1.23639,500,18,4
1.23639,510,21,3
1.23639,520,25,2
1.23639,530,15,2
1.23639,540,14,7
1.23639,550,17,7
1.23639,560,21,5
1.23639,570,30,2
1.23639,580,33,6
1.23639,590,16,2
1.23639,600,13,4
1.23639,610,13,3
1.23639,620,18,8
1.23639,630,11,7
1.23639,640,14,3
1.23639,650,20,6
1.23639,660,17,5
1.23639,670,25,6
1.23639,680,23,10
1.23639,690,18,4
1.23639,700,6,5
1.23639,710,20,19
1.23639,720,16,9
1.23639,730,9,5
1.23639,740,13,5
1.23639,750,21,6
1.23639,760,5,8
1.23639,770,10,3
1.23639,780,10,11
1.23639,790,11,0
1.23639,800,9,7
1.23639,810,6,3
1.23639,820,11,10
1.23639,830,4,4
1.23639,840,20,3
1.23639,850,13,1
1.23639,860,11,9
1.23639,870,12,4
1.23639,880,13,2
1.23639,890,10,5
1.23639,900,8,3
1.23639,910,12,7
1.23639,920,8,3
1.23639,930,7,2
1.23639,940,5,9
1.23639,950,6,5
1.23639,960,4,6
1.23639,970,5,2
1.23639,980,2,6
1.23639,990,6,3
1.31741,0,0,0
1.31741,10,0,0
1.31741,20,0,0
1.31741,30,0,0
1.31741,40,0,0
1.31741,50,1,0
1.31741,60,0,0
1.31741,70,22,0
1.31741,80,41,0
1.31741,90,36,0
1.31741,100,34,0
1.31741,110,24,0
1.31741,120,41,0
1.31741,130,28,0
1.31741,140,35,0
1.31741,150,40,0
1.31741,160,32,0
1.31741,170,41,0
1.31741,180,43,0
1.31741,190,28,0
1.31741,200,27,0
1.31741,210,30,0
1.31741,220,47,0
1.31741,230,50,0
1.31741,240,26,0
1.31741,250,30,0
1.31741,260,25,0
1.31741,270,26,0
1.31741,280,25,2
1.31741,290,40,2
1.31741,300,31,1
1.31741,310,56,1
1.31741,320,29,5
1.31741,330,27,2
1.31741,340,27,4
1.31741,350,24,1
1.31741,360,43,8
1.31741,370,41,3
1.31741,380,43,2
1.31741,390,54,3
1.31741,400,26,3
1.31741,410,38,0
1.31741,420,33,9
1.31741,430,23,4
1.31741,440,26,9
1.31741,450,30,0
1.31741,460,36,1
1.31741,470,32,3
1.31741,480,34,6
1.31741,490,31,3
1.31741,500,11,6
1.31741,510,24,5
1.31741,520,26,6
1.31741,530,17,1
1.31741,540,16,6
1.31741,550,12,8
1.31741,560,27,6
1.31741,570,27,5
1.31741,580,30,6
1.31741,590,10,5
1.31741,600,26,2
1.31741,610,21,3
1.31741,620,9,9
1.31741,630,15,4
1.31741,640,11,2
1.31741,650,9,8
1.31741,660,22,2
1.31741,670,25,9
1.31741,680,27,6
1.31741,690,23,3
1.31741,700,11,9
1.31741,710,21,10
1.31741,720,19,5
1.31741,730,21,5
1.31741,740,18,2
1.31741,750,29,5
1.31741,760,11,10
1.31741,770,11,2
1.31741,780,16,8
1.31741,790,11,2
1.31741,800,16,4
1.31741,810,12,4
1.31741,820,10,13
1.31741,830,9,3
1.31741,840,9,6
1.31741,850,7,0
1.31741,860,16,6
1.31741,870,8,0
1.31741,880,10,4
1.31741,890,16,3
1.31741,900,3,6
1.31741,910,8,11
1.31741,920,9,3
1.31741,930,13,2
1.31741,940,4,3
1.31741,950,3,6
1.31741,960,3,1
1.31741,970,7,4
1.31741,980,2,8
1.31741,990,2,2
1.40375,0,0,0
1.40375,10,0,0
1.40375,20,0,0
1.40375,30,0,0
1.40375,40,0,0
1.40375,50,0,0
1.40375,60,0,0
1.40375,70,25,0
1.40375,80,53,0
1.40375,90,39,0
1.40375,100,37,0
1.40375,110,17,0
1.40375,120,22,0
1.40375,130,32,0
1.40375,140,33,0
1.40375,150,35,0
1.40375,160,31,0
1.40375,170,41,0
1.40375,180,39,0
1.40375,190,20,0
1.40375,200,23,0
1.40375,210,34,0
1.40375,220,57,0
1.40375,230,42,0
1.40375,240,20,0
1.40375,250,28,0
1.40375,260,32,0
1.40375,270,24,0
1.40375,280,22,2
1.40375,290,35,1
1.40375,300,29,2
1.40375,310,27,1
1.40375,320,35,2
1.40375,330,28,0
1.40375,340,45,2
1.40375,350,29,1
1.40375,360,34,1
1.40375,370,36,5
1.40375,380,56,0
1.40375,390,43,0
1.40375,400,27,4
1.40375,410,51,1
1.40375,420,26,2
1.40375,430,21,3
1.40375,440,29,4
1.40375,450,19,3
1.40375,460,26,1
1.40375,470,39,5
1.40375,480,33,5
1.40375,490,38,3
1.40375,500,18,3
1.40375,510,33,3
1.40375,520,23,3
1.40375,530,16,0
1.40375,540,18,2
1.40375,550,17,8
1.40375,560,30,0
1.40375,570,24,4
1.40375,580,36,7
1.40375,590,21,1
1.40375,600,14,0
1.40375,610,21,2
1.40375,620,17,10
1.40375,630,16,4
1.40375,640,7,5
1.40375,650,13,5
1.40375,660,18,4
1.40375,670,25,8
1.40375,680,23,13
1.40375,690,13,8
1.40375,700,17,5
1.40375,710,16,12
1.40375,720,12,4
1.40375,730,15,5
1.40375,740,14,5
1.40375,750,29,7
1.40375,760,10,9
1.40375,770,10,9
1.40375,780,14,9
1.40375,790,12,1
1.40375,800,18,7
1.40375,810,12,2
1.40375,820,11,13
1.40375,830,10,3
1.40375,840,7,4
1.40375,850,14,0
1.40375,860,10,5
1.40375,870,11,3
1.40375,880,14,6
1.40375,890,20,3
1.40375,900,8,2
1.40375,910,13,14
1.40375,920,8,6
1.40375,930,7,6
1.40375,940,3,3
1.40375,950,8,11
1.40375,960,8,3
1.40375,970,3,1
1.40375,980,8,7
1.40375,990,5,1
1.49575,0,0,0
1.49575,10,0,0
1.49575,20,0,0
1.49575,30,0,0
1.49575,40,0,0
1.49575,50,0,0
1.49575,60,0,0
1.49575,70,16,0
1.49575,80,34,0
1.49575,90,41,0
1.49575,100,42,0
1.49575,110,30,0
1.49575,120,29,0
1.49575,130,25,0
1.49575,140,23,0
1.49575,150,35,0
1.49575,160,29,0
1.49575,170,44,0
1.49575,180,34,0
1.49575,190,29,0
1.49575,200,30,0
1.49575,210,27,0
1.49575,220,46,0
1.49575,230,28,0
1.49575,240,19,0
1.49575,250,32,0
1.49575,260,33,0
1.49575,270,25,0
1.49575,280,26,1
1.49575,290,28,2
1.49575,300,34,3
1.49575,310,41,2
1.49575,320,40,2
1.49575,330,18,2
1.49575,340,39,0
1.49575,350,27,4
1.49575,360,38,6
1.49575,370,44,2
1.49575,380,46,3
1.49575,390,41,2
1.49575,400,32,2
1.49575,410,36,2
1.49575,420,30,2
1.49575,430,24,1
1.49575,440,18,8
1.49575,450,31,2
1.49575,460,55,2
1.49575,470,23,1
1.49575,480,37,5
1.49575,490,28,1
1.49575,500,16,4
1.49575,510,17,9
1.49575,520,20,2
1.49575,530,18,5
1.49575,540,15,4
1.49575,550,24,5
1.49575,560,16,5
1.49575,570,32,0
1.49575,580,25,8
1.49575,590,19,1
1.49575,600,18,0
1.49575,610,17,3
1.49575,620,21,16
1.49575,630,21,6
1.49575,640,17,6
1.49575,650,14,6
1.49575,660,35,3
1.49575,670,15,11
1.49575,680,17,14
1.49575,690,16,7
1.49575,700,23,5
1.49575,710,15,16
1.49575,720,15,9
1.49575,730,14,3
1.49575,740,17,3
1.49575,750,31,4
1.49575,760,10,11
1.49575,770,11,3
1.49575,780,18,6
1.49575,790,16,2
1.49575,800,14,4
1.49575,810,13,6
1.49575,820,14,8
1.49575,830,11,4
1.49575,840,13,4
1.49575,850,10,3
1.49575,860,15,3
1.49575,870,9,0
1.49575,880,7,4
1.49575,890,19,4
1.49575,900,11,2
1.49575,910,10,9
1.49575,920,12,4
1.49575,930,6,0
1.49575,940,6,8
1.49575,950,5,5
1.49575,960,7,3
1.49575,970,6,0
1.49575,980,3,3
1.49575,990,3,7
1.59377,0,0,0
1.59377,10,0,0
1.59377,20,0,0
1.59377,30,0,0
1.59377,40,0,0
1.59377,50,0,0
1.59377,60,0,0
1.59377,70,13,0
1.59377,80,37,0
1.59377,90,19,0
1.59377,100,40,0
1.59377,110,25,0
1.59377,120,30,0
1.59377,130,24,0
1.59377,140,19,0
1.59377,150,38,0
1.59377,160,31,0
1.59377,170,40,0
1.59377,180,37,0
1.59377,190,26,0
1.59377,200,29,0
1.59377,210,28,0
1.59377,220,39,0
1.59377,230,45,0
1.59377,240,25,0
1.59377,250,32,0
1.59377,260,27,0
1.59377,270,27,0
1.59377,280,16,0
1.59377,290,37,0
1.59377,300,41,1
1.59377,310,46,0
1.59377,320,42,3
1.59377,330,16,1
1.59377,340,36,2
1.59377,350,27,2
1.59377,360,43,6
1.59377,370,37,5
1.59377,380,32,7
1.59377,390,37,2
1.59377,400,22,3
1.59377,410,40,0
1.59377,420,27,2
1.59377,430,24,4
1.59377,440,17,2
1.59377,450,24,4
1.59377,460,30,2
1.59377,470,24,4
1.59377,480,25,6
1.59377,490,28,1
1.59377,500,17,4
1.59377,510,22,4
1.59377,520,28,2
1.59377,530,13,1
1.59377,540,17,4
1.59377,550,24,11
1.59377,560,24,3
1.59377,570,13,1
1.59377,580,32,5
1.59377,590,15,1
1.59377,600,15,3
1.59377,610,24,2
1.59377,620,19,4
1.59377,630,18,6
1.59377,640,9,5
1.59377,650,23,5
1.59377,660,15,4
1.59377,670,29,7
1.59377,680,18,6
1.59377,690,21,4
1.59377,700,10,9
1.59377,710,16,20
1.59377,720,18,4
1.59377,730,8,4
1.59377,740,13,6
1.59377,750,21,3
1.59377,760,11,9
1.59377,770,13,8
1.59377,780,6,8
1.59377,790,9,2
1.59377,800,15,3
1.59377,810,16,8
1.59377,820,12,12
1.59377,830,8,5
1.59377,840,11,1
1.59377,850,8,1
1.59377,860,17,5
1.59377,870,7,2
1.59377,880,21,5
1.59377,890,16,3
1.59377,900,11,0
1.59377,910,19,6
1.59377,920,5,5
1.59377,930,10,2
1.59377,940,5,6
1.59377,950,4,3
1.59377,960,6,4
1.59377,970,3,3
1.59377,980,2,4
1.59377,990,3,8
1.69822,0,0,0
1.69822,10,0,0
1.69822,20,0,0
1.69822,30,0,0
1.69822,40,0,0
1.69822,50,0,0
1.69822,60,0,0
1.69822,70,28,0
1.69822,80,44,0
1.69822,90,30,0
1.69822,100,39,0
1.69822,110,19,0
1.69822,120,32,0
1.69822,130,18,0
1.69822,140,37,0
1.69822,150,34,0
1.69822,160,28,0
1.69822,170,39,0
1.69822,180,41,0
1.69822,190,21,0
1.69822,200,31,0
1.69822,210,31,0
1.69822,220,60,0
1.69822,230,38,0
1.69822,240,37,0
1.69822,250,23,0
1.69822,260,31,0
1.69822,270,17,0
1.69822,280,28,1
1.69822,290,49,1
1.69822,300,38,2
1.69822,310,57,1
1.69822,320,26,4
1.69822,330,32,3
1.69822,340,41,0
1.69822,350,29,2
1.69822,360,34,5
1.69822,370,45,6
1.69822,380,46,0
1.69822,390,57,1
1.69822,400,43,1
1.69822,410,53,3
1.69822,420,23,3
1.69822,430,27,2
1.69822,440,30,9
1.69822,450,24,1
1.69822,460,31,3
1.69822,470,36,4
1.69822,480,35,4
1.69822,490,42,0
1.69822,500,14,7
1.69822,510,11,6
1.69822,520,26,1
1.69822,530,10,6
1.69822,540,10,9
1.69822,550,23,9
1.69822,560,28,7
1.69822,570,23,4
1.69822,580,25,7
1.69822,590,14,2
1.69822,600,13,2
1.69822,610,16,5
1.69822,620,23,12
1.69822,630,16,3
1.69822,640,16,5
1.69822,650,24,4
1.69822,660,21,4
1.69822,670,25,9
1.69822,680,18,7
1.69822,690,13,8
1.69822,700,13,4
1.69822,710,21,11
1.69822,720,23,4
1.69822,730,14,5
1.69822,740,11,7
1.69822,750,23,4
1.69822,760,11,8
1.69822,770,14,6
1.69822,780,11,4
1.69822,790,7,2
1.69822,800,16,6
1.69822,810,13,1
1.69822,820,12,12
1.69822,830,8,1
1.69822,840,15,4
1.69822,850,15,0
1.69822,860,15,6
1.69822,870,10,3
1.69822,880,15,5
1.69822,890,14,4
1.69822,900,9,2
1.69822,910,5,7
1.69822,920,9,6
1.69822,930,7,1
1.69822,940,5,5
1.69822,950,7,11
1.69822,960,7,3
1.69822,970,3,5
1.69822,980,3,4
1.69822,990,2,4
1.80951,0,0,0
1.80951,10,0,0
1.80951,20,0,0
1.80951,30,0,0
1.80951,40,0,0
1.80951,50,0,0
1.80951,60,0,0
1.80951,70,23,0
1.80951,80,33,0
1.80951,90,38,0
1.80951,100,37,0
1.80951,110,21,0
1.80951,120,30,0
1.80951,130,35,0
1.80951,140,30,0
1.80951,150,33,0
1.80951,160,29,0
1.80951,170,38,0
1.80951,180,49,0
1.80951,190,23,0
1.80951,200,33,0
1.80951,210,38,0
1.80951,220,48,0
1.80951,230,43,0
1.80951,240,18,0
1.80951,250,31,0
1.80951,260,26,0
1.80951,270,30,0
1.80951,280,27,1
1.80951,290,31,2
1.80951,300,43,1
1.80951,310,49,1
1.80951,320,28,2
1.80951,330,28,0
1.80951,340,49,1
1.80951,350,25,1
1.80951,360,38,6
1.80951,370,33,6
1.80951,380,41,4
1.80951,390,40,0
1.80951,400,21,3
1.80951,410,35,4
1.80951,420,30,2
1.80951,430,23,8
1.80951,440,16,3
1.80951,450,20,1
1.80951,460,39,4
1.80951,470,33,2
1.80951,480,20,3
1.80951,490,28,7
1.80951,500,23,3
1.80951,510,22,3
1.80951,520,15,1
1.80951,530,26,2
1.80951,540,21,9
1.80951,550,19,7
1.80951,560,23,3
1.80951,570,23,7
1.80951,580,26,10
1.80951,590,17,2
1.80951,600,9,3
1.80951,610,21,6
1.80951,620,8,12
1.80951,630,16,3
1.80951,640,10,9
1.80951,650,13,8
1.80951,660,25,4
1.80951,670,19,9
1.80951,680,19,6
1.80951,690,12,5
1.80951,700,10,4
1.80951,710,14,15
1.80951,720,17,5
1.80951,730,15,5
1.80951,740,17,2
1.80951,750,17,3
1.80951,760,3,6
1.80951,770,15,12
1.80951,780,8,6
1.80951,790,19,0
1.80951,800,13,12
1.80951,810,7,3
1.80951,820,14,9
1.80951,830,4,5
1.80951,840,8,6
1.80951,850,13,1
1.80951,860,14,3
1.80951,870,8,1
1.80951,880,10,5
1.80951,890,11,3
1.80951,900,6,3
1.80951,910,14,5
1.80951,920,4,6
1.80951,930,10,5
1.80951,940,5,7
1.80951,950,5,4
1.80951,960,8,0
1.80951,970,5,5
1.80951,980,5,7
1.80951,990,5,5
1.9281,0,0,0
1.9281,10,0,0
1.9281,20,0,0
1.9281,30,0,0
1.9281,40,0,0
1.9281,50,0,0
1.9281,60,0,0
1.9281,70,24,0
1.9281,80,40,0
1.9281,90,33,0
1.9281,100,33,0
1.9281,110,23,0
1.9281,120,27,0
1.9281,130,35,0
1.9281,140,32,0
1.9281,150,38,0
1.9281,160,29,0
1.9281,170,49,0
1.9281,180,35,0
1.9281,190,31,0
1.9281,200,36,0
1.9281,210,29,0
1.9281,220,62,0
1.9281,230,43,0
1.9281,240,27,0
1.9281,250,27,0
1.9281,260,42,0
1.9281,270,24,0
1.9281,280,31,2
1.9281,290,39,0
1.9281,300,37,0
1.9281,310,39,1
1.9281,320,30,1
1.9281,330,28,2
1.9281,340,37,3
1.9281,350,21,4
1.9281,360,43,8
1.9281,370,41,4
1.9281,380,30,1
1.9281,390,41,3
1.9281,400,28,2
1.9281,410,39,4
1.9281,420,28,2
1.9281,430,22,3
1.9281,440,16,6
1.9281,450,17,1
1.9281,460,34,4
1.9281,470,26,2
1.9281,480,26,2
1.9281,490,32,3
1.9281,500,12,2
1.9281,510,16,2
1.9281,520,17,4
1.9281,530,11,3
1.9281,540,19,10
1.9281,550,23,6
1.9281,560,20,2
1.9281,570,23,0
1.9281,580,27,6
1.9281,590,21,5
1.9281,600,15,1
1.9281,610,20,1
1.9281,620,27,6
1.9281,630,21,5
1.9281,640,9,7
1.9281,650,13,2
1.9281,660,20,4
1.9281,670,24,13
1.9281,680,18,5
1.9281,690,17,9
1.9281,700,16,5
1.9281,710,22,12
1.9281,720,21,9
1.9281,730,18,3
1.9281,740,11,6
1.9281,750,14,8
1.9281,760,9,11
1.9281,770,17,3
1.9281,780,13,6
1.9281,790,14,3
1.9281,800,13,4
1.9281,810,10,6
1.9281,820,9,10
1.9281,830,11,6
1.9281,840,9,5
1.9281,850,10,1
1.9281,860,9,5
1.9281,870,14,3
1.9281,880,6,7
1.9281,890,12,4
1.9281,900,8,1
1.9281,910,6,8
1.9281,920,9,8
1.9281,930,8,0
1.9281,940,7,12
1.9281,950,6,0
1.9281,960,6,2
1.9281,970,4,3
1.9281,980,7,6
1.9281,990,2,3
2.05446,0,0,0
2.05446,10,0,0
2.05446,20,0,0
2.05446,30,0,0
2.05446,40,0,0
2.05446,50,0,0
2.05446,60,0,0
2.05446,70,31,0
2.05446,80,54,0
2.05446,90,29,0
2.05446,100,28,0
2.05446,110,18,0
2.05446,120,26,0
2.05446,130,36,0
2.05446,140,28,0
2.05446,150,38,0
2.05446,160,37,0
2.05446,170,38,0
2.05446,180,43,0
2.05446,190,27,0
2.05446,200,38,0
2.05446,210,20,0
2.05446,220,45,0
2.05446,230,35,0
2.05446,240,28,0
2.05446,250,29,0
2.05446,260,34,0
2.05446,270,21,0
2.05446,280,40,1
2.05446,290,30,0
2.05446,300,45,4
2.05446,310,67,3
2.05446,320,30,4
2.05446,330,23,0
2.05446,340,36,1
2.05446,350,19,1
2.05446,360,50,3
2.05446,370,32,3
2.05446,380,29,5
2.05446,390,49,2
2.05446,400,35,1
2.05446,410,26,1
2.05446,420,31,3
2.05446,430,16,5
2.05446,440,24,5
2.05446,450,21,4
2.05446,460,42,4
2.05446,470,32,3
2.05446,480,31,2
2.05446,490,29,1
2.05446,500,23,4
2.05446,510,18,9
2.05446,520,20,3
2.05446,530,24,0
2.05446,540,10,16
2.05446,550,14,9
2.05446,560,20,9
2.05446,570,19,1
2.05446,580,28,12
2.05446,590,22,4
2.05446,600,17,1
2.05446,610,19,4
2.05446,620,19,7
2.05446,630,20,6
2.05446,640,16,3
2.05446,650,12,4
2.05446,660,24,12
2.05446,670,25,13
2.05446,680,14,5
2.05446,690,12,3
2.05446,700,16,5
2.05446,710,8,18
2.05446,720,13,5
2.05446,730,10,7
2.05446,740,14,6
2.05446,750,15,3
2.05446,760,9,7
2.05446,770,17,1
2.05446,780,19,9
2.05446,790,15,0
2.05446,800,16,7
2.05446,810,5,6
2.05446,820,16,13
2.05446,830,13,1
2.05446,840,10,1
2.05446,850,16,0
2.05446,860,6,8
2.05446,870,10,1
2.05446,880,13,4
2.05446,890,22,6
2.05446,900,12,3
2.05446,910,9,11
2.05446,920,7,8
2.05446,930,12,2
2.05446,940,4,4
2.05446,950,6,4
2.05446,960,1,3
2.05446,970,8,3
2.05446,980,10,10
2.05446,990,6,4
2.1891,0,0,0
2.1891,10,0,0
2.1891,20,0,0
2.1891,30,0,0
2.1891,40,0,0
2.1891,50,0,0
2.1891,60,0,0
2.1891,70,21,0
2.1891,80,33,0
2.1891,90,37,0
2.1891,100,24,0
2.1891,110,31,0
2.1891,120,33,0
2.1891,130,24,0
2.1891,140,29,0
2.1891,150,44,0
2.1891,160,25,0
2.1891,170,42,0
2.1891,180,49,0
2.1891,190,30,0
2.1891,200,41,0
2.1891,210,29,0
2.1891,220,43,0
2.1891,230,32,0
2.1891,240,27,0
2.1891,250,30,0
2.1891,260,24,0
2.1891,270,15,0
2.1891,280,29,0
2.1891,290,33,1
2.1891,300,32,1
2.1891,310,49,4
2.1891,320,35,2
2.1891,330,21,0
2.1891,340,53,2
2.1891,350,24,1
2.1891,360,39,6
2.1891,370,43,5
2.1891,380,39,5
2.1891,390,33,3
2.1891,400,32,6
2.1891,410,43,1
2.1891,420,21,3
2.1891,430,29,5
2.1891,440,16,10
2.1891,450,28,4
2.1891,460,21,3
2.1891,470,30,4
2.1891,480,30,5
2.1891,490,34,3
2.1891,500,17,4
2.1891,510,25,5
2.1891,520,23,1
2.1891,530,15,0
2.1891,540,12,6
2.1891,550,29,6
2.1891,560,33,2
2.1891,570,29,2
2.1891,580,21,6
2.1891,590,20,2
2.1891,600,19,2
2.1891,610,14,3
2.1891,620,16,5
2.1891,630,13,7
2.1891,640,16,7
2.1891,650,16,2
2.1891,660,22,4
2.1891,670,22,15
2.1891,680,19,6
2.1891,690,13,4
2.1891,700,18,9
2.1891,710,10,19
2.1891,720,13,8
2.1891,730,15,3
2.1891,740,22,7
2.1891,750,25,6
2.1891,760,6,12
