#      mass       lower       upper
1.8195600e+00 1.2618569e-13 1.6681005e-09
1.8284700e+00 1.2618569e-13 1.6681005e-09
1.8374300e+00 1.2618569e-13 1.6681005e-09
1.8464400e+00 1.2618569e-13 1.6681005e-09
1.8554900e+00 1.2618569e-13 1.6681005e-09
1.8645800e+00 1.2618569e-13 1.6681005e-09
1.8737200e+00 1.2618569e-13 1.3848864e-09
1.8829000e+00 1.2618569e-13 1.3848864e-09
1.8921200e+00 1.2618569e-13 1.3848864e-09
1.9014000e+00 1.2618569e-13 1.3848864e-09
1.9107100e+00 1.2618569e-13 1.3848864e-09
1.9200800e+00 1.2618569e-13 1.3848864e-09
1.9294900e+00 1.2618569e-13 1.3848864e-09
1.9389400e+00 1.2618569e-13 1.3848864e-09
1.9484400e+00 1.2618569e-13 1.3848864e-09
1.9579900e+00 1.2618569e-13 1.3848864e-09
1.9675900e+00 1.2618569e-13 1.3848864e-09
1.9772300e+00 1.2618569e-13 1.3848864e-09
1.9869200e+00 1.2618569e-13 1.3848864e-09
1.9966500e+00 1.0476158e-13 1.3848864e-09
2.0064400e+00 1.0476158e-13 1.3848864e-09
2.0162700e+00 1.0476158e-13 1.3848864e-09
2.0261500e+00 1.0476158e-13 1.3848864e-09
2.0360800e+00 1.0476158e-13 1.3848864e-09
2.0460600e+00 1.0476158e-13 1.1497570e-09
2.0560800e+00 1.0476158e-13 1.1497570e-09
2.0661600e+00 1.0476158e-13 1.1497570e-09
2.0762800e+00 1.0476158e-13 1.1497570e-09
2.0864600e+00 1.0476158e-13 1.1497570e-09
2.0966800e+00 1.0476158e-13 1.1497570e-09
2.1069600e+00 1.0476158e-13 1.1497570e-09
2.1172800e+00 1.0476158e-13 1.1497570e-09
2.1276600e+00 1.0476158e-13 1.1497570e-09
2.1380800e+00 1.0476158e-13 1.1497570e-09
2.1485600e+00 1.0476158e-13 1.1497570e-09
2.1590900e+00 1.0476158e-13 1.1497570e-09
2.1696700e+00 1.0476158e-13 1.1497570e-09
2.1803000e+00 1.0476158e-13 1.1497570e-09
2.1909900e+00 1.0476158e-13 1.1497570e-09
2.2017200e+00 1.0476158e-13 1.1497570e-09
2.2125100e+00 1.0476158e-13 1.1497570e-09
2.2233600e+00 1.0476158e-13 1.1497570e-09
2.2342500e+00 1.0476158e-13 9.5454846e-10
2.2452000e+00 1.0476158e-13 9.5454846e-10
2.2562000e+00 1.0476158e-13 9.5454846e-10
2.2672600e+00 1.0476158e-13 9.5454846e-10
2.2783700e+00 1.0476158e-13 9.5454846e-10
2.2895300e+00 1.0476158e-13 9.5454846e-10
2.3007500e+00 1.0476158e-13 9.5454846e-10
2.3120300e+00 1.0476158e-13 9.5454846e-10
2.3233600e+00 1.0476158e-13 9.5454846e-10
2.3347400e+00 1.0476158e-13 9.5454846e-10
2.3461800e+00 1.0476158e-13 9.5454846e-10
2.3576800e+00 1.0476158e-13 9.5454846e-10
2.3692300e+00 1.0476158e-13 9.5454846e-10
2.3808400e+00 1.0476158e-13 9.5454846e-10
2.3925100e+00 1.0476158e-13 9.5454846e-10
2.4042300e+00 8.6974900e-14 9.5454846e-10
2.4160200e+00 1.0476158e-13 9.5454846e-10
2.4278600e+00 8.6974900e-14 9.5454846e-10
2.4397500e+00 8.6974900e-14 7.9248290e-10
2.4517100e+00 8.6974900e-14 7.9248290e-10
2.4637200e+00 8.6974900e-14 7.9248290e-10
2.4758000e+00 8.6974900e-14 7.9248290e-10
