m_B,deltaE,nFlux
3.08534,330,31953
3.08534,340,39418
3.08534,350,40747
3.08534,360,45798
3.08534,370,47166
3.08534,380,50812
3.08534,390,49330
3.08534,400,47228
3.08534,410,48142
3.08534,420,50876
3.08534,430,56188
3.08534,440,63090
3.08534,450,58432
3.08534,460,54182
3.08534,470,55945
3.08534,480,66941
3.08534,490,61753
3.08534,500,54493
3.08534,510,62353
3.08534,520,64029
3.08534,530,60991
3.08534,540,52991
3.08534,550,57912
3.08534,560,61485
3.08534,570,57878
3.08534,580,62888
3.08534,590,71960
3.08534,600,83923
3.08534,610,74574
3.08534,620,65866
3.08534,630,62190
3.08534,640,54487
3.08534,650,48161
3.08534,660,59618
3.08534,670,70370
3.08534,680,59694
3.08534,690,56544
3.08534,700,53664
3.08534,710,63160
3.08534,720,61225
3.08534,730,56873
3.08534,740,58180
3.08534,750,66447
3.08534,760,75721
3.08534,770,60660
3.08534,780,72020
3.08534,790,54090
3.08534,800,59289
3.08534,810,59429
3.08534,820,56210
3.08534,830,62058
3.08534,840,56851
3.08534,850,56480
3.08534,860,43200
3.08534,870,55896
3.08534,880,55425
3.08534,890,53771
3.08534,900,56966
3.08534,910,52506
3.08534,920,65223
3.08534,930,57549
3.08534,940,45813
3.08534,950,45872
3.08534,960,44142
3.08534,970,56642
3.08534,980,58175
3.08534,990,56703
3.77312,0,0
3.77312,10,2
3.77312,20,7
3.77312,30,20
3.77312,40,60
3.77312,50,99
3.77312,60,118
3.77312,70,192
3.77312,80,310
3.77312,90,462
3.77312,100,743
3.77312,110,905
3.77312,120,1246
3.77312,130,1475
3.77312,140,1851
3.77312,150,2223
3.77312,160,2723
3.77312,170,2824
3.77312,180,3316
3.77312,190,3753
3.77312,200,4186
3.77312,210,4972
3.77312,220,6428
3.77312,230,8030
3.77312,240,9709
3.77312,250,11965
3.77312,260,15087
3.77312,270,17638
3.77312,280,21564
3.77312,290,23603
3.77312,300,26721
3.77312,310,28383
3.77312,320,31482
3.77312,330,33175
3.77312,340,40312
3.77312,350,42431
3.77312,360,46971
3.77312,370,48429
3.77312,380,52335
3.77312,390,49880
3.77312,400,47729
3.77312,410,49165
3.77312,420,52052
3.77312,430,56967
3.77312,440,63733
3.77312,450,59699
3.77312,460,54235
3.77312,470,57371
3.77312,480,67969
3.77312,490,61733
3.77312,500,55857
3.77312,510,64106
3.77312,520,64398
3.77312,530,61232
3.77312,540,52439
3.77312,550,59468
3.77312,560,61882
3.77312,570,57982
3.77312,580,64448
3.77312,590,72382
3.77312,600,86524
3.77312,610,73426
3.77312,620,66799
3.77312,630,61659
3.77312,640,54739
3.77312,650,47341
3.77312,660,62128
3.77312,670,69739
3.77312,680,60643
3.77312,690,56436
3.77312,700,53690
3.77312,710,64003
3.77312,720,61036
3.77312,730,57113
3.77312,740,58618
3.77312,750,67286
3.77312,760,76907
3.77312,770,59991
3.77312,780,71510
3.77312,790,54225
3.77312,800,60985
3.77312,810,58794
3.77312,820,56047
3.77312,830,64212
3.77312,840,55676
3.77312,850,55542
3.77312,860,44376
3.77312,870,56725
3.77312,880,55757
3.77312,890,53791
3.77312,900,56431
3.77312,910,52517
3.77312,920,66372
3.77312,930,57889
3.77312,940,44505
3.77312,950,45742
3.77312,960,43977
3.77312,970,57428
3.77312,980,58805
3.77312,990,56596
4.4609,0,0
4.4609,10,4
4.4609,20,11
4.4609,30,20
4.4609,40,51
4.4609,50,65
4.4609,60,101
4.4609,70,207
4.4609,80,373
4.4609,90,504
4.4609,100,696
4.4609,110,972
4.4609,120,1320
4.4609,130,1471
4.4609,140,1889
4.4609,150,2240
4.4609,160,2647
4.4609,170,2856
4.4609,180,3233
4.4609,190,3858
4.4609,200,4207
4.4609,210,5210
4.4609,220,6658
4.4609,230,8166
4.4609,240,10294
4.4609,250,12300
4.4609,260,16027
4.4609,270,18174
4.4609,280,22438
4.4609,290,24685
4.4609,300,27539
4.4609,310,29568
4.4609,320,32268
4.4609,330,34744
4.4609,340,41494
4.4609,350,44484
4.4609,360,48265
4.4609,370,49549
4.4609,380,53980
4.4609,390,49913
4.4609,400,48411
4.4609,410,50142
4.4609,420,53890
4.4609,430,58503
4.4609,440,64890
4.4609,450,60965
4.4609,460,54410
4.4609,470,58814
4.4609,480,69556
4.4609,490,61271
4.4609,500,56648
4.4609,510,65826
4.4609,520,64787
4.4609,530,61800
4.4609,540,52707
4.4609,550,61149
4.4609,560,61912
4.4609,570,57805
4.4609,580,66526
4.4609,590,72683
4.4609,600,88973
4.4609,610,71632
4.4609,620,67423
4.4609,630,60638
4.4609,640,55540
4.4609,650,45915
4.4609,660,65317
4.4609,670,69073
4.4609,680,61249
4.4609,690,56517
4.4609,700,53964
4.4609,710,65165
4.4609,720,60708
4.4609,730,57617
4.4609,740,59459
4.4609,750,67373
4.4609,760,77774
4.4609,770,61356
4.4609,780,69821
4.4609,790,54720
4.4609,800,63470
4.4609,810,57920
4.4609,820,55111
4.4609,830,66425
4.4609,840,54440
4.4609,850,55301
4.4609,860,46143
4.4609,870,56551
4.4609,880,56666
4.4609,890,55125
4.4609,900,55320
4.4609,910,52375
4.4609,920,67444
4.4609,930,59453
4.4609,940,42684
4.4609,950,45948
4.4609,960,43719
4.4609,970,57330
4.4609,980,60975
4.4609,990,55798
5.14868,0,0
5.14868,10,5
5.14868,20,11
5.14868,30,36
5.14868,40,51
5.14868,50,88
5.14868,60,104
5.14868,70,203
5.14868,80,351
5.14868,90,517
5.14868,100,773
5.14868,110,976
5.14868,120,1359
5.14868,130,1474
5.14868,140,1912
5.14868,150,2212
5.14868,160,2710
5.14868,170,2897
5.14868,180,3277
5.14868,190,3977
5.14868,200,4345
5.14868,210,5502
5.14868,220,6786
5.14868,230,8355
5.14868,240,10320
5.14868,250,12733
5.14868,260,16737
5.14868,270,18686
5.14868,280,23419
5.14868,290,25499
5.14868,300,28661
5.14868,310,30513
5.14868,320,32934
5.14868,330,35995
5.14868,340,42339
5.14868,350,46225
5.14868,360,49627
5.14868,370,50709
5.14868,380,56113
5.14868,390,50881
5.14868,400,49525
5.14868,410,51417
5.14868,420,55564
5.14868,430,59424
5.14868,440,65483
5.14868,450,62404
5.14868,460,55729
5.14868,470,59935
5.14868,480,71807
5.14868,490,60811
5.14868,500,57956
5.14868,510,67844
5.14868,520,65937
5.14868,530,62802
5.14868,540,52280
5.14868,550,62796
5.14868,560,62185
5.14868,570,57960
5.14868,580,68128
5.14868,590,73723
5.14868,600,92768
5.14868,610,69616
5.14868,620,69222
5.14868,630,59787
5.14868,640,56349
5.14868,650,46018
5.14868,660,68541
5.14868,670,67656
5.14868,680,63696
5.14868,690,56645
5.14868,700,53451
5.14868,710,65687
5.14868,720,61458
5.14868,730,56838
5.14868,740,60311
5.14868,750,67418
5.14868,760,78910
5.14868,770,64180
5.14868,780,66833
5.14868,790,56241
5.14868,800,65211
5.14868,810,57726
5.14868,820,54641
5.14868,830,67940
5.14868,840,52664
5.14868,850,55832
5.14868,860,51063
5.14868,870,53714
5.14868,880,52271
5.14868,890,0
5.14868,900,0
5.14868,910,0
5.14868,920,0
5.14868,930,0
5.14868,940,0
5.14868,950,0
5.14868,960,0
5.14868,970,0
5.14868,980,0
5.14868,990,0
5.83646,0,0
5.83646,10,1
5.83646,20,14
5.83646,30,19
5.83646,40,40
5.83646,50,87
5.83646,60,139
5.83646,70,212
5.83646,80,363
5.83646,90,546
5.83646,100,777
5.83646,110,1016
5.83646,120,1350
5.83646,130,1520
5.83646,140,1991
5.83646,150,2347
5.83646,160,2680
5.83646,170,3058
5.83646,180,3321
5.83646,190,4029
5.83646,200,4442
5.83646,210,5728
5.83646,220,6843
5.83646,230,8646
5.83646,240,10597
5.83646,250,13168
5.83646,260,17463
5.83646,270,19431
5.83646,280,24517
5.83646,290,26789
5.83646,300,29717
5.83646,310,31600
5.83646,320,33615
5.83646,330,38054
5.83646,340,43706
5.83646,350,48903
5.83646,360,51024
5.83646,370,51911
5.83646,380,57498
5.83646,390,52308
5.83646,400,49954
5.83646,410,53861
5.83646,420,56937
5.83646,430,62001
5.83646,440,66179
5.83646,450,63462
5.83646,460,56823
5.83646,470,62576
5.83646,480,73570
5.83646,490,60438
5.83646,500,59487
5.83646,510,70124
5.83646,520,68110
5.83646,530,62281
5.83646,540,52545
5.83646,550,64892
5.83646,560,62285
5.83646,570,57608
5.83646,580,71103
5.83646,590,73660
5.83646,600,95988
5.83646,610,68244
5.83646,620,70780
5.83646,630,58529
5.83646,640,57417
5.83646,650,46261
5.83646,660,72059
5.83646,670,65663
5.83646,680,65286
5.83646,690,55957
5.83646,700,54272
5.83646,710,65906
5.83646,720,59075
5.83646,730,60399
5.83646,740,58636
5.83646,750,68223
5.83646,760,82497
5.83646,770,69993
5.83646,780,22388
5.83646,790,0
5.83646,800,0
5.83646,810,0
5.83646,820,0
5.83646,830,0
5.83646,840,0
5.83646,850,0
5.83646,860,0
5.83646,870,0
5.83646,880,0
5.83646,890,0
5.83646,900,0
5.83646,910,0
5.83646,920,0
5.83646,930,0
5.83646,940,0
5.83646,950,0
5.83646,960,0
5.83646,970,0
5.83646,980,0
5.83646,990,0
6.52424,0,0
6.52424,10,1
6.52424,20,16
6.52424,30,28
6.52424,40,51
6.52424,50,81
6.52424,60,113
6.52424,70,245
6.52424,80,345
6.52424,90,533
6.52424,100,807
6.52424,110,1062
6.52424,120,1309
6.52424,130,1583
6.52424,140,2033
6.52424,150,2451
6.52424,160,2769
6.52424,170,3020
6.52424,180,3305
6.52424,190,4233
6.52424,200,4501
6.52424,210,5858
6.52424,220,7028
6.52424,230,8935
6.52424,240,11250
6.52424,250,13963
6.52424,260,18149
6.52424,270,20860
6.52424,280,25528
6.52424,290,27724
6.52424,300,31069
6.52424,310,33210
6.52424,320,35170
6.52424,330,40163
6.52424,340,45599
6.52424,350,51455
6.52424,360,52463
6.52424,370,53966
6.52424,380,59766
6.52424,390,53499
6.52424,400,50896
6.52424,410,56232
6.52424,420,58231
6.52424,430,64568
6.52424,440,67062
6.52424,450,65399
6.52424,460,57587
6.52424,470,65772
6.52424,480,75160
6.52424,490,61185
6.52424,500,60571
6.52424,510,72156
6.52424,520,69936
6.52424,530,62711
6.52424,540,53578
6.52424,550,65902
6.52424,560,63252
6.52424,570,57090
6.52424,580,75267
6.52424,590,73068
6.52424,600,99027
6.52424,610,66464
6.52424,620,72096
6.52424,630,57053
6.52424,640,58205
6.52424,650,46569
6.52424,660,79271
6.52424,670,60049
6.52424,680,70232
6.52424,690,54188
6.52424,700,24
6.52424,710,0
6.52424,720,0
6.52424,730,0
6.52424,740,0
6.52424,750,0
6.52424,760,0
6.52424,770,0
6.52424,780,0
6.52424,790,0
6.52424,800,0
6.52424,810,0
6.52424,820,0
6.52424,830,0
6.52424,840,0
6.52424,850,0
6.52424,860,0
6.52424,870,0
6.52424,880,0
6.52424,890,0
6.52424,900,0
6.52424,910,0
6.52424,920,0
6.52424,930,0
6.52424,940,0
6.52424,950,0
6.52424,960,0
6.52424,970,0
6.52424,980,0
6.52424,990,0
7.21202,0,0
7.21202,10,3
7.21202,20,22
7.21202,30,32
7.21202,40,56
7.21202,50,81
7.21202,60,116
7.21202,70,256
7.21202,80,378
7.21202,90,501
7.21202,100,837
7.21202,110,1035
7.21202,120,1395
7.21202,130,1580
7.21202,140,2107
7.21202,150,2348
7.21202,160,2798
7.21202,170,3259
7.21202,180,3390
7.21202,190,4409
7.21202,200,4705
7.21202,210,6112
7.21202,220,7114
7.21202,230,9102
7.21202,240,11988
7.21202,250,14543
7.21202,260,18638
7.21202,270,21906
7.21202,280,26896
7.21202,290,29116
7.21202,300,32969
7.21202,310,34965
7.21202,320,36229
7.21202,330,42140
7.21202,340,47737
7.21202,350,54577
7.21202,360,54530
7.21202,370,55868
7.21202,380,62680
7.21202,390,54913
7.21202,400,52236
7.21202,410,59002
7.21202,420,59880
7.21202,430,67714
7.21202,440,68700
7.21202,450,67158
7.21202,460,58668
7.21202,470,69238
7.21202,480,77045
7.21202,490,62121
7.21202,500,62318
7.21202,510,74604
7.21202,520,70756
7.21202,530,63340
7.21202,540,55144
7.21202,550,67016
7.21202,560,63317
7.21202,570,57014
7.21202,580,81442
7.21202,590,70552
7.21202,600,101179
7.21202,610,65182
7.21202,620,73448
7.21202,630,19534
7.21202,640,0
7.21202,650,0
7.21202,660,0
7.21202,670,0
7.21202,680,0
7.21202,690,0
7.21202,700,0
7.21202,710,0
7.21202,720,0
7.21202,730,0
7.21202,740,0
7.21202,750,0
7.21202,760,0
7.21202,770,0
7.21202,780,0
7.21202,790,0
7.21202,800,0
7.21202,810,0
7.21202,820,0
7.21202,830,0
7.21202,840,0
7.21202,850,0
7.21202,860,0
7.21202,870,0
7.21202,880,0
7.21202,890,0
7.21202,900,0
7.21202,910,0
7.21202,920,0
7.21202,930,0
7.21202,940,0
7.21202,950,0
7.21202,960,0
7.21202,970,0
7.21202,980,0
7.21202,990,0
7.8998,0,0
7.8998,10,5
7.8998,20,15
7.8998,30,38
7.8998,40,64
7.8998,50,110
7.8998,60,154
7.8998,70,255
7.8998,80,371
7.8998,90,540
7.8998,100,863
7.8998,110,1122
7.8998,120,1305
7.8998,130,1583
7.8998,140,2202
7.8998,150,2461
7.8998,160,2850
7.8998,170,3346
7.8998,180,3389
7.8998,190,4459
7.8998,200,4886
7.8998,210,6525
7.8998,220,7472
7.8998,230,9587
7.8998,240,13075
7.8998,250,15168
7.8998,260,19267
7.8998,270,23066
7.8998,280,28076
7.8998,290,31266
7.8998,300,34276
7.8998,310,36976
7.8998,320,38578
7.8998,330,44153
7.8998,340,50416
7.8998,350,58111
7.8998,360,55340
7.8998,370,59336
7.8998,380,64494
7.8998,390,57186
7.8998,400,54272
7.8998,410,62347
7.8998,420,61358
7.8998,430,70404
7.8998,440,70937
7.8998,450,69069
7.8998,460,59412
7.8998,470,72388
7.8998,480,79538
7.8998,490,62097
7.8998,500,64787
7.8998,510,77204
7.8998,520,70634
7.8998,530,64594
7.8998,540,56319
7.8998,550,69578
7.8998,560,61961
7.8998,570,33582
7.8998,580,0
7.8998,590,0
7.8998,600,0
7.8998,610,0
7.8998,620,0
7.8998,630,0
7.8998,640,0
7.8998,650,0
7.8998,660,0
7.8998,670,0
7.8998,680,0
7.8998,690,0
7.8998,700,0
7.8998,710,0
7.8998,720,0
7.8998,730,0
7.8998,740,0
7.8998,750,0
7.8998,760,0
7.8998,770,0
7.8998,780,0
7.8998,790,0
7.8998,800,0
7.8998,810,0
7.8998,820,0
7.8998,830,0
7.8998,840,0
7.8998,850,0
7.8998,860,0
7.8998,870,0
7.8998,880,0
7.8998,890,0
7.8998,900,0
7.8998,910,0
7.8998,920,0
7.8998,930,0
7.8998,940,0
7.8998,950,0
7.8998,960,0
7.8998,970,0
7.8998,980,0
7.8998,990,0
8.58758,0,0
8.58758,10,2
8.58758,20,20
8.58758,30,31
8.58758,40,59
8.58758,50,111
8.58758,60,157
8.58758,70,277
8.58758,80,381
8.58758,90,540
8.58758,100,843
8.58758,110,1180
8.58758,120,1377
8.58758,130,1686
8.58758,140,2240
8.58758,150,2542
8.58758,160,2775
8.58758,170,3452
8.58758,180,3520
8.58758,190,4666
8.58758,200,5064
8.58758,210,6652
8.58758,220,7880
8.58758,230,9937
8.58758,240,13824
8.58758,250,16075
8.58758,260,20450
8.58758,270,24625
8.58758,280,29834
8.58758,290,33237
8.58758,300,36393
8.58758,310,39191
8.58758,320,40374
8.58758,330,47299
8.58758,340,54350
8.58758,350,62144
8.58758,360,57612
8.58758,370,63600
8.58758,380,67014
8.58758,390,59372
8.58758,400,56432
8.58758,410,66092
8.58758,420,63344
8.58758,430,74146
8.58758,440,74624
8.58758,450,70409
8.58758,460,59766
8.58758,470,75090
8.58758,480,82742
8.58758,490,62719
8.58758,500,70092
8.58758,510,75751
8.58758,520,67824
8.58758,530,0
8.58758,540,0
8.58758,550,0
8.58758,560,0
8.58758,570,0
8.58758,580,0
8.58758,590,0
8.58758,600,0
8.58758,610,0
8.58758,620,0
8.58758,630,0
8.58758,640,0
8.58758,650,0
8.58758,660,0
8.58758,670,0
8.58758,680,0
8.58758,690,0
8.58758,700,0
8.58758,710,0
8.58758,720,0
8.58758,730,0
8.58758,740,0
8.58758,750,0
8.58758,760,0
8.58758,770,0
8.58758,780,0
8.58758,790,0
8.58758,800,0
8.58758,810,0
8.58758,820,0
8.58758,830,0
8.58758,840,0
8.58758,850,0
8.58758,860,0
8.58758,870,0
8.58758,880,0
8.58758,890,0
8.58758,900,0
8.58758,910,0
8.58758,920,0
8.58758,930,0
8.58758,940,0
8.58758,950,0
8.58758,960,0
8.58758,970,0
8.58758,980,0
8.58758,990,0
9.27536,0,0
9.27536,10,7
9.27536,20,31
9.27536,30,81
9.27536,40,130
9.27536,50,210
9.27536,60,301
9.27536,70,538
9.27536,80,886
9.27536,90,1168
9.27536,100,1714
9.27536,110,2409
9.27536,120,3028
9.27536,130,3375
9.27536,140,4823
9.27536,150,5207
9.27536,160,5571
9.27536,170,7104
9.27536,180,7653
9.27536,190,9646
9.27536,200,10600
9.27536,210,14483
9.27536,220,16884
9.27536,230,20820
9.27536,240,31038
9.27536,250,36218
9.27536,260,45785
9.27536,270,54221
9.27536,280,67146
9.27536,290,73020
9.27536,300,80624
9.27536,310,84765
9.27536,320,89125
9.27536,330,104419
9.27536,340,124196
9.27536,350,138094
9.27536,360,125962
9.27536,370,138030
9.27536,380,145102
9.27536,390,126818
9.27536,400,122760
9.27536,410,150112
9.27536,420,132173
9.27536,430,158031
9.27536,440,163012
9.27536,450,102715
9.27536,460,58180
9.27536,470,80370
9.27536,480,81974
9.27536,490,0
9.27536,500,0
9.27536,510,0
9.27536,520,0
9.27536,530,0
9.27536,540,0
9.27536,550,0
9.27536,560,0
9.27536,570,0
9.27536,580,0
9.27536,590,0
9.27536,600,0
9.27536,610,0
9.27536,620,0
9.27536,630,0
9.27536,640,0
9.27536,650,0
9.27536,660,0
9.27536,670,0
9.27536,680,0
9.27536,690,0
9.27536,700,0
9.27536,710,0
9.27536,720,0
9.27536,730,0
9.27536,740,0
9.27536,750,0
9.27536,760,0
9.27536,770,0
9.27536,780,0
9.27536,790,0
9.27536,800,0
9.27536,810,0
9.27536,820,0
9.27536,830,0
9.27536,840,0
9.27536,850,0
9.27536,860,0
9.27536,870,0
9.27536,880,0
9.27536,890,0
9.27536,900,0
9.27536,910,0
9.27536,920,0
9.27536,930,0
9.27536,940,0
9.27536,950,0
9.27536,960,0
9.27536,970,0
